Time,area_km2,elevation_m,changed_storage_mcm
2020-01-31,1.09,148.1,16.72
2020-02-29,1.0,143.5,11.97
2020-03-31,1.13,150.2,19.11
2020-04-30,1.01,144.1,12.51
2020-05-31,1.4,165.2,38.15
2020-06-30,1.24,156.2,26.21
2020-07-31,0.87,137.4,6.2
2020-08-31,0.93,140.0,8.6
2020-09-30,1.08,147.7,16.28
2020-10-31,1.23,155.8,25.64
2020-11-30,1.16,151.8,20.96
2020-12-31,1.13,150.0,18.83
2021-01-31,1.17,152.5,21.75
2021-02-28,0.99,142.9,11.32
2021-03-31,0.87,137.4,6.27
2021-04-30,1.11,149.1,17.82
2021-05-31,1.16,151.6,20.64
2021-06-30,1.13,150.0,18.83
2021-07-31,1.45,168.1,42.21
2021-08-31,1.35,161.9,33.62
2021-09-30,1.3,159.3,30.16
2021-10-31,1.34,161.7,33.25
2021-11-30,1.54,173.2,49.95
2021-12-31,1.22,154.9,24.59
2022-01-31,1.06,146.8,15.38
2022-02-28,0.98,142.6,11.03
2022-03-31,0.89,138.4,7.14
2022-04-30,1.16,152.0,21.12
2022-05-31,1.18,152.6,21.85
2022-06-30,1.05,146.0,14.5
2022-07-31,1.16,151.8,20.96
2022-08-31,1.13,150.4,19.25
2022-09-30,1.21,154.3,23.86
2022-10-31,1.14,151.0,19.96
2022-11-30,1.17,152.5,21.7
2022-12-31,1.18,153.0,22.34
2023-01-31,1.36,162.7,34.64
2023-02-28,1.42,166.1,39.42
2023-03-31,1.4,164.7,37.41
2023-04-30,1.23,155.4,25.21
2023-05-31,1.42,166.3,39.68
2023-06-30,1.06,146.5,15.07
2023-07-31,1.15,151.4,20.39
2023-08-31,1.23,155.6,25.42
2023-09-30,1.14,150.5,19.44
2023-10-31,1.38,164.1,36.52
2023-11-30,1.54,173.5,50.34
2023-12-31,1.47,169.1,43.78
2024-01-31,0.71,,
2024-02-29,1.09,148.1,16.77
2024-03-31,1.43,166.7,40.24
2024-04-30,1.16,151.7,20.85
2024-05-31,1.46,168.7,43.15
2024-06-30,1.05,146.0,14.46
2024-07-31,1.2,153.9,23.38
2024-08-31,1.34,161.5,33.07
2024-09-30,1.27,157.9,28.33
2024-10-31,1.24,156.2,26.15
2024-11-30,1.44,167.2,40.94
2024-12-31,0.92,139.6,8.18
2025-01-31,1.53,172.8,49.32
2025-02-28,1.54,173.0,49.59
2025-03-31,1.54,173.2,49.87
2025-04-30,1.51,171.2,46.88
2025-05-31,1.39,164.2,36.7
