Time,area_km2,elevation_m,changed_storage_mcm
2001-01-31,5.47,320.8,166.29
2001-02-28,5.27,319.3,158.33
2001-03-31,5.42,320.4,164.3
2001-04-30,5.58,321.6,170.72
2001-05-31,5.81,323.4,180.88
2001-06-30,5.63,322.0,172.77
2001-07-31,5.62,321.9,172.4
2001-08-31,5.61,321.8,172.03
2001-09-30,5.6,321.8,171.66
2001-10-31,5.59,321.7,171.29
2001-11-30,5.59,321.6,170.92
2001-12-31,5.58,321.6,170.55
2002-01-31,5.57,321.5,170.18
2002-02-28,6.14,325.8,195.42
2002-03-31,5.78,323.2,179.77
2002-04-30,5.29,319.5,159.08
2002-05-31,5.52,321.1,168.1
2002-06-30,5.54,321.3,168.95
2002-07-31,5.56,321.4,169.8
2002-08-31,5.58,321.6,170.64
2002-09-30,5.5,321.1,167.61
2002-10-31,5.98,324.6,188.12
2002-11-30,5.84,323.6,182.31
2002-12-31,5.71,322.6,176.48
2003-01-31,5.88,323.9,183.98
2003-02-28,5.75,323.0,178.46
2003-03-31,5.84,323.6,182.14
2003-04-30,5.82,323.5,181.33
2003-05-31,5.8,323.3,180.51
2003-06-30,5.78,323.2,179.69
2003-07-31,5.76,323.1,178.88
2003-08-31,5.74,322.9,177.97
2003-09-30,5.72,322.7,177.02
2003-10-31,5.7,322.6,176.07
2003-11-30,5.79,323.2,179.95
2003-12-31,5.68,322.4,174.97
2004-01-31,5.88,323.9,183.66
2004-02-29,5.93,324.3,185.97
2004-03-31,5.74,322.9,178.07
2004-04-30,6.0,324.8,189.26
2004-05-31,5.7,322.6,176.19
2004-06-30,6.22,326.4,198.69
2004-07-31,5.71,322.6,176.32
2004-08-31,5.49,321.0,167.21
2004-09-30,5.26,319.3,158.01
2004-10-31,5.72,322.7,177.03
2004-11-30,5.9,324.0,184.41
2004-12-31,6.07,325.3,192.14
2005-01-31,6.01,324.8,189.37
2005-02-28,5.8,323.3,180.52
2005-03-31,6.05,325.2,191.49
2005-04-30,5.87,323.8,183.44
2005-05-31,5.98,324.6,188.08
2005-06-30,5.92,324.2,185.74
2005-07-31,5.87,323.8,183.47
2005-08-31,5.59,321.7,171.18
2005-09-30,5.77,323.1,179.39
2005-10-31,5.95,324.4,187.03
2005-11-30,5.7,322.6,176.14
2005-12-31,5.74,322.9,178.12
2006-01-31,5.78,323.2,179.87
2006-02-28,5.83,323.5,181.56
2006-03-31,6.03,325.0,190.3
2006-04-30,5.94,324.4,186.51
2006-05-31,5.8,323.3,180.6
2006-06-30,5.75,322.9,178.21
2006-07-31,5.69,322.4,175.39
2006-08-31,5.74,322.9,177.74
2006-09-30,5.78,323.2,179.88
2006-10-31,5.85,323.7,182.5
2006-11-30,5.83,323.5,181.6
2006-12-31,5.85,323.7,182.75
2007-01-31,5.78,323.2,179.8
2007-02-28,5.77,323.1,179.33
2007-03-31,5.75,323.0,178.54
2007-04-30,5.73,322.8,177.61
2007-05-31,5.75,322.9,178.24
2007-06-30,5.77,323.1,179.15
2007-07-31,5.83,323.5,181.56
2007-08-31,5.59,321.7,170.96
2007-09-30,5.74,322.9,177.87
2007-10-31,5.77,323.1,179.1
2007-11-30,5.79,323.3,180.23
2007-12-31,5.82,323.5,181.35
2008-01-31,5.59,321.7,171.07
2008-02-29,5.62,321.9,172.41
2008-03-31,6.09,325.4,192.87
2008-04-30,5.94,324.3,186.44
2008-05-31,5.91,324.1,184.99
2008-06-30,5.67,322.3,174.72
2008-07-31,5.54,321.3,169.26
2008-08-31,5.64,322.0,173.04
2008-09-30,5.49,321.0,167.17
2008-10-31,5.63,322.0,172.73
2008-11-30,5.78,323.2,179.59
2008-12-31,5.82,323.4,181.17
2009-01-31,5.83,323.6,181.82
2009-02-28,5.71,322.6,176.44
2009-03-31,5.93,324.2,185.86
2009-04-30,5.34,319.8,161.07
2009-05-31,6.05,325.1,191.26
2009-06-30,5.83,323.6,181.92
2009-07-31,5.76,323.1,178.98
2009-08-31,5.47,320.8,166.37
2009-09-30,5.38,320.1,162.63
2009-10-31,5.52,321.2,168.34
2009-11-30,5.69,322.4,175.39
2009-12-31,5.89,324.0,184.3
2010-01-31,5.52,321.2,168.2
2010-02-28,5.75,322.9,178.28
2010-03-31,5.67,322.3,174.76
2010-04-30,5.74,322.9,177.89
2010-05-31,5.8,323.4,180.66
2010-06-30,5.63,322.0,172.63
2010-07-31,5.74,322.9,177.86
2010-08-31,5.63,322.0,172.86
2010-09-30,5.53,321.2,168.63
2010-10-31,5.54,321.4,169.3
2010-11-30,5.79,323.2,179.98
2010-12-31,6.03,325.0,190.38
2011-01-31,6.0,324.8,189.15
2011-02-28,5.97,324.6,187.92
2011-03-31,5.5,321.0,167.28
2011-04-30,6.11,325.5,193.69
2011-05-31,5.33,319.7,160.44
2011-06-30,5.48,320.9,166.59
2011-07-31,5.51,321.1,168.05
2011-08-31,5.55,321.4,169.49
2011-09-30,5.59,321.6,170.94
2011-10-31,5.62,321.9,172.38
2011-11-30,5.57,321.5,170.36
2011-12-31,5.6,321.7,171.42
2012-01-31,5.63,322.0,172.61
2012-02-29,5.66,322.2,173.98
2012-03-31,5.69,322.4,175.39
2012-04-30,5.54,321.3,169.05
2012-05-31,5.47,320.8,166.07
2012-06-30,5.65,322.1,173.71
2012-07-31,5.66,322.2,174.06
2012-08-31,5.67,322.3,174.4
2012-09-30,5.67,322.3,174.75
2012-10-31,5.68,322.4,175.09
2012-11-30,5.64,322.0,173.08
2012-12-31,5.6,321.7,171.35
2013-01-31,5.5,321.0,167.28
2013-02-28,5.48,320.9,166.62
2013-03-31,5.76,323.1,178.9
2013-04-30,5.66,322.3,174.34
2013-05-31,5.68,322.4,174.93
2013-06-30,5.51,321.1,167.81
2013-07-31,5.34,319.8,160.95
2013-08-31,5.48,320.8,166.49
2013-09-30,5.61,321.8,172.01
2013-10-31,5.75,323.0,178.37
2013-11-30,5.51,321.1,168.03
2013-12-31,5.77,323.1,179.26
2014-01-31,5.67,322.3,174.84
2014-02-28,5.56,321.5,169.97
2014-03-31,5.66,322.2,173.92
2014-04-30,5.84,323.6,182.32
2014-05-31,5.62,321.9,172.13
2014-06-30,5.64,322.0,173.04
2014-07-31,5.44,320.6,165.07
2014-08-31,5.71,322.7,176.65
2014-09-30,5.48,320.9,166.7
2014-10-31,5.44,320.6,164.94
2014-11-30,5.64,322.0,173.16
2014-12-31,5.45,320.7,165.6
2015-01-31,5.45,320.6,165.41
2015-02-28,5.6,321.7,171.35
2015-03-31,5.5,321.1,167.64
2015-04-30,5.6,321.8,171.53
2015-05-31,5.7,322.6,176.1
2015-06-30,5.66,322.2,174.17
2015-07-31,5.74,322.9,177.82
2015-08-31,5.81,323.4,181.06
2015-09-30,5.6,321.7,171.32
2015-10-31,5.46,320.7,165.74
2015-11-30,5.5,321.1,167.67
2015-12-31,5.51,321.1,167.71
2016-01-31,5.68,322.4,175.05
2016-02-29,5.63,322.0,172.84
2016-03-31,5.76,323.0,178.69
2016-04-30,5.72,322.8,177.23
2016-05-31,5.63,322.0,172.66
2016-06-30,5.6,321.8,171.67
2016-07-31,5.58,321.6,170.79
2016-08-31,5.56,321.5,169.9
2016-09-30,5.54,321.3,169.02
2016-10-31,5.52,321.1,168.13
2016-11-30,5.49,321.0,167.25
2016-12-31,5.18,318.5,155.33
2017-01-31,5.45,320.7,165.56
2017-02-28,6.11,325.6,193.89
2017-03-31,6.0,324.8,189.09
2017-04-30,5.48,320.9,166.59
2017-05-31,5.55,321.4,169.37
2017-06-30,5.56,321.5,169.9
2017-07-31,5.59,321.7,171.07
2017-08-31,6.04,325.1,190.87
2017-09-30,5.89,324.0,184.33
2017-10-31,5.56,321.5,169.83
2017-11-30,5.72,322.7,176.98
2017-12-31,5.81,323.4,180.99
2018-01-31,5.51,321.1,167.74
2018-02-28,5.6,321.8,171.71
2018-03-31,5.81,323.4,181.02
2018-04-30,5.61,321.8,171.78
2018-05-31,5.73,322.8,177.49
2018-06-30,5.62,321.9,172.33
2018-07-31,5.51,321.1,167.9
2018-08-31,5.4,320.3,163.32
2018-09-30,5.7,322.5,175.9
2018-10-31,5.76,323.0,178.79
2018-11-30,5.64,322.1,173.21
2018-12-31,5.76,323.0,178.76
2019-01-31,5.88,323.9,183.79
2019-02-28,5.86,323.8,182.97
2019-03-31,5.95,324.4,186.83
2019-04-30,5.93,324.3,186.09
2019-05-31,5.98,324.7,188.31
2019-06-30,5.86,323.8,183.15
2019-07-31,5.81,323.4,181.06
2019-08-31,5.96,324.5,187.33
2019-09-30,6.05,325.1,191.07
2019-10-31,5.93,324.3,186.13
2019-11-30,5.93,324.3,186.13
2019-12-31,5.88,323.9,183.83
2020-01-31,5.83,323.5,181.74
2020-02-29,5.84,323.6,182.0
2020-03-31,5.86,323.8,183.08
2020-04-30,5.95,324.4,186.87
2020-05-31,5.85,323.7,182.39
2020-06-30,5.9,324.1,184.84
2020-07-31,5.74,322.9,178.03
2020-08-31,5.95,324.4,186.75
2020-09-30,5.9,324.0,184.48
2020-10-31,5.92,324.2,185.46
2020-11-30,5.94,324.3,186.44
2020-12-31,5.9,324.0,184.64
2021-01-31,5.86,323.8,183.04
2021-02-28,5.8,323.4,180.66
2021-03-31,5.98,324.7,188.39
2021-04-30,6.02,325.0,190.11
2021-05-31,5.97,324.6,187.8
2021-06-30,5.95,324.4,186.88
2021-07-31,5.89,324.0,184.16
2021-08-31,5.77,323.1,179.12
2021-09-30,5.8,323.4,180.63
2021-10-31,5.75,322.9,178.24
2021-11-30,5.66,322.2,173.97
2021-12-31,5.73,322.8,177.49
2022-01-31,5.82,323.5,181.39
2022-02-28,5.77,323.2,179.48
2022-03-31,5.75,322.9,178.24
2022-04-30,5.85,323.7,182.61
2022-05-31,5.31,319.6,159.75
2022-06-30,5.72,322.7,177.02
2022-07-31,5.67,322.3,174.55
2022-08-31,5.73,322.8,177.57
2022-09-30,5.79,323.3,180.2
2022-10-31,5.82,323.5,181.53
2022-11-30,5.4,320.3,163.29
2022-12-31,5.73,322.8,177.49
2023-01-31,5.88,323.9,183.93
2023-02-28,5.77,323.1,179.37
2023-03-31,5.69,322.4,175.39
2023-04-30,6.08,325.4,192.71
2023-05-31,5.85,323.7,182.46
2023-06-30,5.76,323.0,178.76
2023-07-31,5.8,323.3,180.6
2023-08-31,5.85,323.7,182.43
2023-09-30,5.84,323.6,182.07
2023-10-31,5.83,323.5,181.71
2023-11-30,5.78,323.2,179.55
2023-12-31,5.72,322.7,177.15
2024-01-31,5.7,322.5,176.02
2024-02-29,5.74,322.9,177.95
2024-03-31,5.88,323.9,183.94
2024-04-30,5.82,323.5,181.46
2024-05-31,5.62,321.9,172.27
2024-06-30,5.5,321.0,167.57
2024-07-31,5.5,321.0,167.57
2024-08-31,5.7,322.5,175.81
2024-09-30,5.57,321.5,170.26
2024-10-31,5.72,322.7,177.15
2024-11-30,5.87,323.8,183.26
2024-12-31,5.84,323.6,182.0
2025-01-31,5.88,323.9,183.8
2025-02-28,5.8,323.4,180.66
2025-03-31,5.82,323.5,181.35
2025-04-30,5.71,322.7,176.69
2025-05-31,5.96,324.5,187.49
