Time,area_km2,elevation_m,changed_storage_mcm
2013-01-31,6.5,66.6,73.1
2013-02-28,6.7,67.1,76.19
2013-03-31,6.9,67.5,79.47
2013-04-30,6.93,67.6,79.97
2013-05-31,5.84,65.2,64.42
2013-06-30,6.79,67.3,77.75
2013-07-31,6.82,67.3,78.11
2013-08-31,6.84,67.4,78.46
2013-09-30,6.77,67.2,77.33
2013-10-31,6.97,67.7,80.62
2013-11-30,6.11,65.7,67.54
2013-12-31,6.58,66.8,74.26
2014-01-31,6.4,66.3,71.46
2014-02-28,6.22,65.9,68.81
2014-03-31,6.94,67.6,80.2
2014-04-30,7.67,69.7,94.9
2014-05-31,6.92,67.6,79.9
2014-06-30,6.85,67.4,78.63
2014-07-31,7.18,68.2,84.37
2014-08-31,6.72,67.1,76.52
2014-09-30,6.92,67.6,79.88
2014-10-31,7.13,68.1,83.34
2014-11-30,6.14,65.8,67.92
2014-12-31,6.72,67.1,76.56
2015-01-31,7.31,68.6,86.8
2015-02-28,6.7,67.1,76.25
2015-03-31,8.5,73.5,125.77
2015-04-30,6.67,67.0,75.67
2015-05-31,6.8,67.3,77.8
2015-06-30,6.83,67.4,78.34
2015-07-31,6.86,67.5,78.89
2015-08-31,7.12,68.1,83.15
2015-09-30,7.77,70.0,97.41
2015-10-31,7.16,68.2,84.07
2015-11-30,6.08,65.7,67.25
2015-12-31,6.28,66.1,69.63
2016-01-31,7.0,67.8,81.08
2016-02-29,6.82,67.3,78.09
2016-03-31,7.19,68.3,84.58
2016-04-30,7.57,69.3,92.32
2016-05-31,6.49,66.6,72.96
2016-06-30,6.46,66.5,72.45
2016-07-31,7.41,68.8,88.8
2016-08-31,7.15,68.2,83.89
2016-09-30,6.9,67.5,79.45
2016-10-31,6.64,66.9,75.21
2016-11-30,6.38,66.3,71.24
2016-12-31,7.05,67.9,81.98
2017-01-31,5.54,64.2,61.06
2017-02-28,6.73,67.1,76.7
2017-03-31,7.16,68.2,84.05
2017-04-30,7.79,70.1,98.05
2017-05-31,6.98,67.7,80.89
2017-06-30,7.16,68.2,84.03
2017-07-31,7.22,68.3,85.13
2017-08-31,7.52,69.2,91.14
2017-09-30,7.3,68.6,86.65
2017-10-31,7.09,68.0,82.63
2017-11-30,6.88,67.5,79.13
2017-12-31,6.27,66.0,69.55
2018-01-31,5.67,64.7,62.46
2018-02-28,6.67,67.0,75.73
2018-03-31,7.44,68.9,89.36
2018-04-30,6.82,67.3,78.15
2018-05-31,7.19,68.3,84.6
2018-06-30,7.04,67.9,81.89
2018-07-31,6.9,67.5,79.44
2018-08-31,8.23,71.9,112.55
2018-09-30,7.81,70.1,98.53
2018-10-31,7.39,68.8,88.31
2018-11-30,5.64,64.6,62.15
2018-12-31,6.53,66.6,73.46
2019-01-31,7.1,68.0,82.79
2019-02-28,7.35,68.7,87.6
2019-03-31,7.76,69.9,97.08
2019-04-30,7.22,68.3,85.12
2019-05-31,7.0,67.8,81.15
2019-06-30,7.66,69.6,94.77
2019-07-31,6.75,67.2,76.97
2019-08-31,5.97,65.4,65.9
2019-09-30,7.14,68.1,83.55
2019-10-31,7.07,68.0,82.29
2019-11-30,7.16,68.2,84.0
2019-12-31,8.44,73.0,121.85
2020-01-31,7.58,69.4,92.73
2020-02-29,6.73,67.1,76.63
2020-03-31,7.93,70.6,102.09
2020-04-30,6.67,67.0,75.61
2020-05-31,7.37,68.7,87.93
2020-06-30,6.81,67.3,77.95
2020-07-31,6.68,67.0,75.82
2020-08-31,6.9,67.6,79.55
2020-09-30,6.71,67.1,76.31
2020-10-31,6.29,66.1,69.84
2020-11-30,7.65,69.6,94.48
2020-12-31,7.04,67.9,81.9
2021-01-31,7.39,68.8,88.4
2021-02-28,7.09,68.0,82.6
2021-03-31,6.58,66.8,74.24
2021-04-30,8.42,72.9,121.26
2021-05-31,7.16,68.2,84.02
2021-06-30,6.27,66.0,69.5
2021-07-31,7.09,68.0,82.68
2021-08-31,6.01,65.5,66.38
2021-09-30,6.44,66.4,72.19
2021-10-31,6.68,67.0,75.87
2021-11-30,6.83,67.4,78.36
2021-12-31,7.23,68.4,85.43
2022-01-31,7.64,69.6,94.14
2022-02-28,7.11,68.1,83.05
2022-03-31,6.48,66.5,72.75
2022-04-30,6.71,67.1,76.36
2022-05-31,5.97,65.4,65.95
2022-06-30,6.98,67.7,80.83
2022-07-31,6.9,67.5,79.44
2022-08-31,7.0,67.8,81.15
2022-09-30,7.52,69.2,91.12
2022-10-31,6.63,66.9,75.05
2022-11-30,6.52,66.6,73.34
2022-12-31,7.36,68.7,87.77
2023-01-31,6.89,67.5,79.26
2023-02-28,6.77,67.2,77.39
2023-03-31,7.76,69.9,97.06
2023-04-30,7.4,68.8,88.6
2023-05-31,7.05,67.9,81.93
2023-06-30,7.01,67.8,81.27
2023-07-31,6.83,67.4,78.32
2023-08-31,7.22,68.3,85.12
2023-09-30,7.13,68.1,83.41
2023-10-31,7.27,68.5,86.02
2023-11-30,7.08,68.0,82.45
2023-12-31,8.26,72.0,113.94
2024-01-31,6.86,67.4,78.77
2024-02-29,6.33,66.2,70.4
2024-03-31,7.58,69.4,92.77
2024-04-30,6.77,67.2,77.36
2024-05-31,6.15,65.8,68.07
2024-06-30,5.53,64.2,60.96
2024-07-31,7.47,69.0,89.94
2024-08-31,7.31,68.6,86.94
2024-09-30,7.6,69.4,93.06
2024-10-31,7.06,67.9,82.24
2024-11-30,6.79,67.3,77.66
2024-12-31,7.31,68.6,86.84
2025-01-31,7.28,68.5,86.38
2025-02-28,6.27,66.0,69.43
2025-03-31,6.86,67.5,78.89
2025-04-30,7.38,68.8,88.22
2025-05-31,6.71,67.1,76.31
