Time,area_km2,elevation_m,changed_storage_mcm
2016-01-31,0.7,433.1,7.69
2016-02-29,0.69,433.1,7.63
2016-03-31,0.57,430.0,5.66
2016-04-30,0.87,439.7,12.88
2016-05-31,0.35,425.7,3.7
2016-06-30,0.23,420.0,2.57
2016-07-31,0.44,427.2,4.26
2016-08-31,0.41,426.7,4.06
2016-09-30,0.38,426.3,3.89
2016-10-31,0.8,436.9,10.51
2016-11-30,0.74,434.3,8.56
2016-12-31,0.69,432.8,7.45
2017-01-31,0.61,430.8,6.15
2017-02-28,0.53,428.9,5.1
2017-03-31,0.55,429.4,5.35
2017-04-30,0.57,429.9,5.61
2017-05-31,0.96,451.9,24.23
2017-06-30,0.97,453.7,25.95
2017-07-31,0.36,425.9,3.75
2017-08-31,0.38,426.3,3.92
2017-09-30,0.57,429.9,5.61
2017-10-31,0.59,430.4,5.94
2017-11-30,0.62,431.0,6.29
2017-12-31,0.64,431.5,6.62
2018-01-31,0.66,432.1,6.96
2018-02-28,0.69,432.8,7.46
2018-03-31,0.78,436.3,10.03
2018-04-30,0.69,432.8,7.47
2018-05-31,0.59,430.3,5.87
2018-06-30,0.49,428.3,4.76
2018-07-31,0.51,428.6,4.94
2018-08-31,0.53,429.0,5.12
2018-09-30,0.46,427.7,4.48
2018-10-31,0.39,426.4,3.94
2018-11-30,0.32,425.0,3.46
2018-12-31,0.24,420.9,2.7
2019-01-31,0.5,428.5,4.86
2019-02-28,0.81,437.1,10.68
2019-03-31,0.69,432.9,7.52
2019-04-30,0.86,439.1,12.33
2019-05-31,0.89,440.9,13.91
2019-06-30,0.73,433.8,8.16
2019-07-31,0.67,432.1,7.01
2019-08-31,0.61,430.7,6.12
2019-09-30,0.73,433.8,8.19
2019-10-31,0.73,433.8,8.16
2019-11-30,0.58,430.0,5.7
2019-12-31,0.83,438.1,11.51
2020-01-31,0.62,431.2,6.4
2020-02-29,0.42,426.8,4.11
2020-03-31,0.55,429.4,5.38
2020-04-30,0.72,433.6,8.03
2020-05-31,0.44,427.3,4.32
2020-06-30,0.51,428.7,4.96
2020-07-31,0.33,425.3,3.54
2020-08-31,0.51,428.6,4.95
2020-09-30,0.36,426.0,3.79
2020-10-31,0.6,430.6,6.05
2020-11-30,0.64,431.5,6.57
2020-12-31,0.42,426.9,4.13
2021-01-31,0.58,430.1,5.75
2021-02-28,0.62,431.1,6.36
2021-03-31,0.75,434.7,8.82
2021-04-30,0.29,424.3,3.25
2021-05-31,0.92,443.8,16.55
2021-06-30,0.4,426.5,3.99
2021-07-31,0.48,428.1,4.7
2021-08-31,0.55,429.4,5.37
2021-09-30,0.59,430.3,5.84
2021-10-31,0.56,429.5,5.43
2021-11-30,0.91,443.1,15.95
2021-12-31,0.64,431.4,6.56
2022-01-31,0.76,435.1,9.17
2022-02-28,0.31,424.9,3.43
2022-03-31,0.33,425.3,3.55
2022-04-30,0.87,439.6,12.81
2022-05-31,0.69,433.1,7.63
2022-06-30,0.65,431.7,6.71
2022-07-31,0.6,430.6,6.02
2022-08-31,0.74,434.1,8.42
2022-09-30,0.87,439.5,12.71
2022-10-31,0.59,430.5,5.96
2022-11-30,0.5,428.5,4.86
2022-12-31,0.76,434.9,8.96
2023-01-31,0.62,431.2,6.4
2023-02-28,0.85,438.7,12.04
2023-03-31,0.86,439.4,12.59
2023-04-30,0.88,439.9,13.07
2023-05-31,0.9,441.8,14.72
2023-06-30,0.88,440.4,13.5
2023-07-31,0.62,431.2,6.39
2023-08-31,0.62,431.2,6.4
2023-09-30,0.62,431.2,6.41
2023-10-31,0.81,437.4,10.96
2023-11-30,0.5,428.4,4.81
2023-12-31,0.78,436.0,9.83
2024-01-31,0.79,436.5,10.22
2024-02-29,0.8,437.0,10.6
2024-03-31,0.82,437.5,10.98
2024-04-30,0.97,454.3,26.54
2024-05-31,0.92,444.5,17.23
2024-06-30,0.5,428.4,4.83
2024-07-31,0.56,429.7,5.52
2024-08-31,0.61,430.8,6.13
2024-09-30,0.72,433.7,8.1
2024-10-31,0.66,431.9,6.89
2024-11-30,0.72,433.6,8.04
2024-12-31,0.28,423.8,3.12
2025-01-31,0.92,443.5,16.25
2025-02-28,0.73,433.9,8.22
2025-03-31,0.54,429.2,5.26
2025-04-30,0.91,442.8,15.63
2025-05-31,0.91,442.4,15.3
