Time,area_km2,elevation_m,changed_storage_mcm
2008-01-31,4.91,385.1,122.48
2008-02-29,4.91,385.1,122.48
2008-03-31,4.91,385.1,122.48
2008-04-30,4.65,380.7,101.69
2008-05-31,4.51,378.9,93.49
2008-06-30,4.68,381.1,103.26
2008-07-31,4.85,383.7,115.97
2008-08-31,5.02,388.0,137.26
2008-09-30,5.11,391.5,154.95
2008-10-31,3.64,370.5,59.15
2008-11-30,4.91,385.1,122.69
2008-12-31,5.2,402.6,212.18
2009-01-31,4.16,375.4,78.27
2009-02-28,5.3,479.1,615.19
2009-03-31,5.07,389.9,146.43
2009-04-30,5.17,396.4,179.72
2009-05-31,4.89,384.6,120.24
2009-06-30,4.41,377.9,88.96
2009-07-31,3.43,369.0,53.71
2009-08-31,3.68,370.8,60.26
2009-09-30,3.94,373.3,69.48
2009-10-31,4.08,374.7,75.24
2009-11-30,4.23,376.1,80.92
2009-12-31,4.04,374.3,73.58
2010-01-31,3.45,369.2,54.31
2010-02-28,5.31,495.8,704.03
2010-03-31,4.59,379.9,97.97
2010-04-30,5.31,492.7,687.31
2010-05-31,5.17,396.2,179.11
2010-06-30,4.16,375.4,78.09
2010-07-31,3.15,366.7,46.15
2010-08-31,3.85,372.4,66.18
2010-09-30,4.21,375.8,79.96
2010-10-31,4.79,382.7,111.04
2010-11-30,4.32,377.0,85.0
2010-12-31,4.43,378.1,89.76
2011-01-31,4.52,379.1,93.96
2011-02-28,4.61,380.1,98.92
2011-03-31,5.17,396.9,182.75
2011-04-30,3.26,367.6,49.05
2011-05-31,3.78,371.7,63.43
2011-06-30,4.3,376.8,83.89
2011-07-31,4.82,383.1,112.96
2011-08-31,4.11,374.9,76.2
2011-09-30,3.4,368.8,53.01
2011-10-31,3.94,373.3,69.64
2011-11-30,3.79,371.9,64.09
2011-12-31,3.65,370.6,59.36
2012-01-31,3.5,369.6,55.61
2012-02-29,3.47,369.3,54.77
2012-03-31,4.57,379.6,96.65
2012-04-30,4.99,387.2,133.26
2012-05-31,4.37,377.5,87.24
2012-06-30,3.76,371.5,62.69
2012-07-31,3.14,366.6,45.94
2012-08-31,4.0,373.9,71.81
2012-09-30,3.77,371.7,63.33
2012-10-31,3.55,370.0,57.01
2012-11-30,3.33,368.2,50.98
2012-12-31,3.66,370.7,59.64
2013-01-31,3.99,373.8,71.43
2013-02-28,4.32,377.0,84.92
