Time,area_km2,elevation_m,changed_storage_mcm
2014-01-31,4.52,183.4,3.87
2014-02-28,6.78,190.4,43.66
2014-03-31,6.2,188.5,31.46
2014-04-30,5.81,187.3,24.26
2014-05-31,8.3,195.5,81.92
2014-06-30,4.79,184.2,7.6
2014-07-31,6.98,191.1,48.16
2014-08-31,9.18,198.6,108.91
2014-09-30,6.32,188.9,33.94
2014-10-31,8.94,197.7,101.31
2014-11-30,7.2,191.8,53.12
2014-12-31,9.46,199.6,118.39
2015-01-31,10.69,204.2,164.94
2015-02-28,11.51,207.4,201.11
2015-03-31,11.1,205.8,182.38
2015-04-30,11.22,206.3,187.84
2015-05-31,11.28,206.5,190.6
2015-06-30,5.52,186.4,19.14
2015-07-31,7.41,192.5,58.3
2015-08-31,9.3,199.0,112.96
2015-09-30,4.98,184.8,10.44
2015-10-31,13.39,215.6,302.98
2015-11-30,12.08,209.8,228.86
2015-12-31,13.48,216.0,308.49
2016-01-31,13.45,215.9,306.3
2016-02-29,11.02,205.5,178.84
2016-03-31,14.45,220.8,374.66
2016-04-30,14.27,219.8,361.11
2016-05-31,13.52,216.2,310.88
2016-06-30,12.77,212.8,266.18
2016-07-31,12.03,209.6,226.21
2016-08-31,11.45,207.2,198.49
2016-09-30,10.88,204.9,173.0
2016-10-31,10.31,202.7,149.62
2016-11-30,14.15,219.2,353.0
2016-12-31,14.36,220.3,367.67
2017-01-31,13.96,218.3,339.65
2017-02-28,14.01,218.6,343.46
2017-03-31,12.12,210.0,230.74
2017-04-30,8.82,197.3,97.29
2017-05-31,14.69,222.0,392.38
2017-06-30,4.29,182.5,0.01
2017-07-31,11.41,207.0,196.25
2017-08-31,10.46,203.3,155.39
2017-09-30,9.51,199.7,119.97
2017-10-31,5.78,187.2,23.59
2017-11-30,13.0,213.8,279.11
2017-12-31,13.88,217.9,334.32
2018-01-31,14.22,219.6,357.62
2018-02-28,13.85,217.8,332.09
2018-03-31,13.53,216.3,311.67
2018-04-30,10.49,203.4,156.78
2018-05-31,13.92,218.1,337.28
2018-06-30,7.59,193.1,62.72
2018-07-31,7.87,194.0,69.92
2018-08-31,7.67,193.3,64.7
2018-09-30,7.47,192.6,59.66
2018-10-31,13.18,214.6,289.78
2018-11-30,10.28,202.6,148.25
2018-12-31,13.5,216.1,309.82
2019-01-31,10.92,205.1,174.72
2019-02-28,13.51,216.2,310.55
2019-03-31,14.72,222.1,394.91
2019-04-30,5.31,185.8,15.6
2019-05-31,12.84,213.1,269.82
2019-06-30,10.1,201.9,141.65
2019-07-31,12.75,212.7,264.65
2019-08-31,5.77,187.2,23.51
2019-09-30,13.31,215.2,297.61
2019-10-31,14.34,220.2,366.46
2019-11-30,14.49,221.0,377.63
2019-12-31,14.32,220.1,365.0
2020-01-31,14.53,221.2,380.44
2020-02-29,14.44,220.7,373.75
2020-03-31,13.56,216.4,313.18
2020-04-30,13.31,215.2,297.51
2020-05-31,10.2,202.3,145.19
2020-06-30,6.45,189.3,36.63
2020-07-31,8.32,195.5,82.52
2020-08-31,14.38,220.4,369.19
2020-09-30,13.57,216.5,314.3
2020-10-31,14.02,218.6,343.64
2020-11-30,14.42,220.6,371.88
2020-12-31,13.83,217.7,331.02
2021-01-31,14.51,221.0,378.8
2021-02-28,14.41,220.6,371.68
2021-03-31,14.77,222.5,400.09
2021-04-30,12.48,211.5,250.04
2021-05-31,5.46,186.2,18.06
2021-06-30,10.27,202.6,147.9
2021-07-31,10.27,202.6,147.93
2021-08-31,14.53,221.1,380.11
2021-09-30,13.12,214.3,286.14
2021-10-31,14.62,221.6,386.96
2021-11-30,13.88,217.9,334.73
2021-12-31,14.05,218.7,345.7
2022-01-31,14.34,220.2,366.53
2022-02-28,13.67,216.9,320.66
2022-03-31,11.8,208.6,215.07
2022-04-30,10.49,203.4,156.65
2022-05-31,7.02,191.2,48.96
2022-06-30,13.01,213.9,279.88
2022-07-31,7.22,191.8,53.76
2022-08-31,14.31,220.0,364.43
2022-09-30,10.21,202.4,145.79
2022-10-31,11.18,206.1,185.75
2022-11-30,13.31,215.2,297.51
2022-12-31,13.92,218.1,336.86
2023-01-31,13.64,216.8,318.86
2023-02-28,11.99,209.4,224.54
2023-03-31,13.98,218.4,341.07
2023-04-30,12.07,209.8,228.63
2023-05-31,13.4,215.6,303.25
2023-06-30,7.29,192.1,55.43
2023-07-31,10.1,201.9,141.55
2023-08-31,5.59,186.6,20.29
2023-09-30,10.78,204.5,168.55
2023-10-31,13.04,214.0,281.81
2023-11-30,14.35,220.2,366.91
2023-12-31,14.35,220.2,367.16
2024-01-31,12.67,212.3,260.29
2024-02-29,12.9,213.4,273.64
2024-03-31,11.31,206.6,191.96
2024-04-30,13.25,214.9,294.06
2024-05-31,12.09,209.8,229.31
2024-06-30,10.05,201.7,139.45
2024-07-31,5.71,187.0,22.39
2024-08-31,13.09,214.2,284.78
2024-09-30,5.97,187.8,27.14
2024-10-31,13.82,217.6,330.67
2024-11-30,8.9,197.6,99.89
2024-12-31,14.47,220.9,376.14
2025-01-31,14.45,220.7,374.33
2025-02-28,14.01,218.5,343.16
2025-03-31,10.46,203.3,155.66
2025-04-30,7.63,193.2,63.64
2025-05-31,9.43,199.5,117.33
