Time,area_km2,elevation_m,changed_storage_mcm
2014-01-31,0.38,279.1,6.07
2014-02-28,0.21,265.9,2.06
2014-03-31,0.25,268.0,2.55
2014-04-30,0.29,270.8,3.31
2014-05-31,0.33,274.0,4.29
2014-06-30,0.27,269.0,2.79
2014-07-31,0.24,266.9,2.28
2014-08-31,0.2,265.4,1.95
2014-09-30,0.29,271.0,3.35
2014-10-31,0.32,273.7,4.2
2014-11-30,0.12,259.1,1.03
2014-12-31,0.24,267.5,2.42
2015-01-31,0.42,281.3,7.0
2015-02-28,0.3,272.2,3.72
2015-03-31,0.3,271.9,3.62
2015-04-30,0.32,273.7,4.2
2015-05-31,0.24,267.1,2.32
2015-06-30,0.27,269.4,2.91
2015-07-31,0.31,272.5,3.81
2015-08-31,0.24,267.0,2.3
2015-09-30,0.17,263.2,1.55
2015-10-31,0.15,262.4,1.42
2015-11-30,0.24,267.0,2.29
2015-12-31,0.27,269.0,2.79
2016-01-31,0.14,261.2,1.24
2016-02-29,0.23,266.7,2.24
2016-03-31,0.29,270.5,3.23
2016-04-30,0.33,274.5,4.46
2016-05-31,0.38,278.6,5.9
2016-06-30,0.36,277.2,5.39
2016-07-31,0.34,275.5,4.78
2016-08-31,0.16,262.7,1.46
2016-09-30,0.34,275.6,4.83
2016-10-31,0.14,261.5,1.28
2016-11-30,0.22,266.2,2.12
2016-12-31,0.38,278.7,5.94
2017-01-31,0.35,276.5,5.13
2017-02-28,0.32,273.8,4.22
2017-03-31,0.33,274.2,4.35
2017-04-30,0.33,274.6,4.5
2017-05-31,0.34,275.1,4.65
2017-06-30,0.27,268.9,2.78
2017-07-31,0.32,273.2,4.02
2017-08-31,0.22,266.2,2.11
2017-09-30,0.25,267.9,2.52
2017-10-31,0.28,269.9,3.06
2017-11-30,0.31,272.7,3.88
2017-12-31,0.28,269.7,3.0
2018-01-31,0.36,276.9,5.28
2018-02-28,0.33,274.7,4.52
2018-03-31,0.31,272.7,3.88
2018-04-30,0.29,270.6,3.25
2018-05-31,0.26,268.7,2.72
2018-06-30,0.24,267.1,2.32
2018-07-31,0.28,270.0,3.09
2018-08-31,0.18,264.1,1.71
2018-09-30,0.17,263.8,1.64
2018-10-31,0.17,263.3,1.57
2018-11-30,0.22,266.3,2.14
2018-12-31,0.23,266.7,2.24
2019-01-31,0.23,266.5,2.19
2019-02-28,0.22,266.3,2.15
2019-03-31,0.42,280.7,6.72
2019-04-30,0.29,271.2,3.42
2019-05-31,0.23,266.6,2.21
2019-06-30,0.25,267.6,2.45
2019-07-31,0.18,264.2,1.72
2019-08-31,0.3,272.0,3.67
2019-09-30,0.31,272.6,3.83
2019-10-31,0.3,272.1,3.68
2019-11-30,0.28,269.9,3.06
2019-12-31,0.26,268.4,2.65
2020-01-31,0.24,267.1,2.32
2020-02-29,0.22,266.1,2.1
2020-03-31,0.28,269.8,3.02
2020-04-30,0.27,268.9,2.78
2020-05-31,0.25,268.2,2.59
2020-06-30,0.19,264.6,1.8
2020-07-31,0.19,264.9,1.85
2020-08-31,0.3,271.9,3.62
2020-09-30,0.31,272.7,3.88
2020-10-31,0.32,273.6,4.15
2020-11-30,0.29,270.5,3.23
2020-12-31,0.3,272.1,3.69
2021-01-31,0.32,273.3,4.07
2021-02-28,0.25,267.8,2.5
2021-03-31,0.18,264.1,1.7
2021-04-30,0.14,261.2,1.24
2021-05-31,0.17,263.9,1.66
2021-06-30,0.27,269.1,2.82
2021-07-31,0.29,270.8,3.3
2021-08-31,0.22,266.4,2.16
2021-09-30,0.29,271.0,3.35
2021-10-31,0.41,280.4,6.63
2021-11-30,0.39,279.5,6.26
2021-12-31,0.39,279.5,6.24
2022-01-31,0.4,280.1,6.48
2022-02-28,0.37,277.8,5.59
2022-03-31,0.33,274.0,4.29
2022-04-30,0.29,270.7,3.28
2022-05-31,0.29,270.5,3.23
2022-06-30,0.29,271.3,3.45
2022-07-31,0.29,271.0,3.35
2022-08-31,0.33,274.0,4.29
2022-09-30,0.35,276.3,5.05
2022-10-31,0.33,273.9,4.27
2022-11-30,0.33,274.3,4.38
2022-12-31,0.31,272.6,3.85
2023-01-31,0.31,272.8,3.92
2023-02-28,0.36,277.6,5.52
2023-03-31,0.29,271.2,3.42
2023-04-30,0.32,273.3,4.07
2023-05-31,0.35,276.6,5.18
2023-06-30,0.32,273.7,4.18
2023-07-31,0.35,275.9,4.93
2023-08-31,0.22,266.0,2.08
2023-09-30,0.25,267.8,2.48
2023-10-31,0.27,269.5,2.95
2023-11-30,0.39,279.3,6.15
2023-12-31,0.42,281.0,6.87
2024-01-31,0.36,277.2,5.37
2024-02-29,0.29,271.3,3.45
2024-03-31,0.44,285.0,8.59
2024-04-30,0.32,273.7,4.2
2024-05-31,0.31,272.9,3.92
2024-06-30,0.3,272.1,3.68
2024-07-31,0.29,271.0,3.37
2024-08-31,0.34,275.2,4.67
2024-09-30,0.29,271.0,3.37
2024-10-31,0.36,277.0,5.31
2024-11-30,0.34,275.4,4.75
2024-12-31,0.33,274.8,4.55
2025-01-31,0.33,274.1,4.32
2025-02-28,0.36,277.2,5.39
2025-03-31,0.39,279.4,6.2
2025-04-30,0.29,271.3,3.45
2025-05-31,0.38,278.8,5.97
