Time,area_km2,elevation_m,changed_storage_mcm
2017-01-31,4.88,534.1,51.48
2017-02-28,6.57,541.4,94.07
2017-03-31,8.5,554.2,191.01
2017-04-30,8.26,552.1,173.46
2017-05-31,8.03,550.7,162.08
2017-06-30,6.63,541.8,96.19
2017-07-31,6.97,543.8,109.81
2017-08-31,7.32,546.0,125.49
2017-09-30,5.9,538.2,73.57
2017-10-31,6.13,539.3,80.28
2017-11-30,6.22,539.7,83.14
2017-12-31,5.39,536.0,61.54
2018-01-31,5.8,537.7,70.89
2018-02-28,6.21,539.7,82.75
2018-03-31,7.4,546.5,129.76
2018-04-30,8.18,551.6,169.35
2018-05-31,6.9,543.4,106.94
2018-06-30,7.02,544.0,111.71
2018-07-31,7.14,544.8,116.82
2018-08-31,7.44,546.8,131.89
2018-09-30,7.74,549.1,149.44
2018-10-31,6.6,541.6,95.02
2018-11-30,6.73,542.3,99.96
2018-12-31,7.52,547.4,136.34
2019-01-31,7.67,548.6,145.37
2019-02-28,7.05,544.2,112.96
2019-03-31,6.79,542.7,102.33
2019-04-30,7.19,545.1,119.15
2019-05-31,8.55,554.7,194.89
2019-06-30,8.04,550.8,162.35
2019-07-31,6.19,539.6,82.06
2019-08-31,8.38,553.1,181.17
2019-09-30,6.93,543.5,108.18
2019-10-31,7.36,546.3,127.64
2019-11-30,7.48,547.1,134.2
2019-12-31,7.38,546.4,129.02
2020-01-31,6.92,543.4,107.48
2020-02-29,8.86,558.9,231.62
2020-03-31,8.9,559.6,238.26
2020-04-30,9.02,562.7,265.5
2020-05-31,8.45,553.7,186.84
2020-06-30,5.77,537.5,69.96
2020-07-31,6.57,541.5,94.13
2020-08-31,7.37,546.4,128.5
2020-09-30,8.61,555.2,199.07
2020-10-31,7.17,544.9,118.12
2020-11-30,7.19,545.1,119.06
2020-12-31,7.13,544.7,116.53
2021-01-31,7.79,549.4,151.63
2021-02-28,8.64,555.5,201.58
2021-03-31,7.23,545.3,120.92
2021-04-30,9.07,565.2,288.11
2021-05-31,7.06,544.3,113.54
2021-06-30,7.55,547.6,137.96
2021-07-31,6.86,543.1,104.99
2021-08-31,8.38,553.1,181.81
2021-09-30,8.35,552.9,179.38
2021-10-31,8.39,553.1,181.88
2021-11-30,7.4,546.5,129.71
2021-12-31,7.21,545.2,119.99
2022-01-31,7.31,545.9,125.19
2022-02-28,7.21,545.2,120.29
2022-03-31,7.79,549.4,151.63
2022-04-30,9.0,562.1,260.48
2022-05-31,7.35,546.2,127.29
2022-06-30,6.22,539.7,82.97
2022-07-31,7.48,547.1,134.06
2022-08-31,7.18,545.0,118.37
2022-09-30,8.49,554.1,190.28
2022-10-31,7.31,545.9,124.94
2022-11-30,8.01,550.6,161.27
2022-12-31,8.5,554.2,190.48
2023-01-31,7.21,545.2,119.87
2023-02-28,7.01,544.0,111.31
2023-03-31,8.94,560.9,249.14
2023-04-30,6.91,543.4,107.11
2023-05-31,8.33,552.7,177.95
2023-06-30,6.34,540.3,86.69
2023-07-31,6.79,542.7,102.4
2023-08-31,7.16,544.9,117.75
2023-09-30,7.23,545.3,121.01
2023-10-31,7.97,550.4,159.48
2023-11-30,7.06,544.3,113.32
2023-12-31,7.25,545.5,122.27
2024-01-31,7.97,550.4,159.11
2024-02-29,6.81,542.8,102.99
2024-03-31,6.37,540.5,87.81
2024-04-30,4.75,533.5,49.95
2024-05-31,6.22,539.7,83.17
2024-06-30,7.15,544.8,117.15
2024-07-31,8.07,550.9,163.72
2024-08-31,6.27,540.0,84.74
2024-09-30,8.56,554.8,195.68
2024-10-31,7.54,547.5,137.29
2024-11-30,7.96,550.3,158.66
2024-12-31,8.34,552.7,178.53
2025-01-31,8.48,554.0,188.9
2025-02-28,6.89,543.2,106.21
2025-03-31,7.03,544.1,112.2
2025-04-30,6.7,542.1,98.47
2025-05-31,6.59,541.5,94.7
