Time,area_km2,elevation_m,changed_storage_mcm
2004-01-31,14.36,131.4,179.88
2004-02-29,15.03,132.3,189.23
2004-03-31,15.67,133.0,199.43
2004-04-30,18.37,135.7,245.78
2004-05-31,18.17,135.5,241.75
2004-06-30,38.62,153.0,730.79
2004-07-31,35.15,150.5,638.58
2004-08-31,31.68,147.7,544.23
2004-09-30,37.17,152.0,691.2
2004-10-31,37.74,152.4,706.79
2004-11-30,40.74,154.4,788.01
2004-12-31,42.24,155.4,829.21
2005-01-31,38.4,152.8,724.7
2005-02-28,35.64,150.9,651.8
2005-03-31,30.53,146.7,512.47
2005-04-30,28.64,145.0,461.97
2005-05-31,23.06,140.2,337.95
2005-06-30,18.56,135.9,249.6
2005-07-31,26.97,143.5,422.82
2005-08-31,35.37,150.7,644.54
2005-09-30,41.28,154.8,802.51
2005-10-31,38.84,153.2,736.99
2005-11-30,40.23,154.1,774.74
2005-12-31,39.53,153.6,755.61
2006-01-31,38.82,153.1,736.31
2006-02-28,37.6,152.3,702.7
2006-03-31,36.68,151.6,678.41
2006-04-30,30.34,146.5,507.33
2006-05-31,27.02,143.6,423.98
2006-06-30,32.71,148.6,572.57
2006-07-31,40.06,154.0,770.25
2006-08-31,40.53,154.3,782.54
2006-09-30,40.99,154.6,794.83
2006-10-31,41.46,154.9,807.11
2006-11-30,38.03,152.6,714.72
2006-12-31,37.56,152.2,701.62
2007-01-31,35.8,151.0,655.93
2007-02-28,33.06,148.8,582.11
2007-03-31,29.44,145.7,483.02
2007-04-30,25.17,141.9,380.57
2007-05-31,28.9,145.2,468.84
2007-06-30,32.2,148.1,558.48
2007-07-31,35.62,150.9,651.24
2007-08-31,39.05,153.3,742.6
2007-09-30,38.29,152.8,721.8
2007-10-31,37.53,152.2,700.9
2007-11-30,37.81,152.4,708.54
2007-12-31,37.28,152.0,694.1
2008-01-31,34.35,149.9,617.27
2008-02-29,33.74,149.4,600.6
2008-03-31,28.64,145.0,462.09
2008-04-30,24.29,141.2,361.92
2008-05-31,19.39,136.7,265.07
2008-06-30,36.57,151.5,675.64
2008-07-31,36.69,151.6,678.85
2008-08-31,39.75,153.8,761.85
2008-09-30,38.84,153.2,736.92
2008-10-31,37.93,152.5,711.84
2008-11-30,37.88,152.5,710.43
2008-12-31,33.94,149.6,605.92
2009-01-31,33.01,148.8,580.87
2009-02-28,30.8,146.9,519.86
2009-03-31,27.89,144.3,444.71
2009-04-30,23.58,140.6,347.89
2009-05-31,17.64,134.9,231.75
2009-06-30,24.6,141.4,368.53
2009-07-31,28.46,144.8,457.9
2009-08-31,32.32,148.2,561.74
2009-09-30,36.17,151.3,665.5
2009-10-31,40.06,154.0,770.1
2009-11-30,39.56,153.7,756.5
2009-12-31,35.02,150.4,635.2
2010-01-31,35.68,150.9,652.71
2010-02-28,35.22,150.6,640.36
2010-03-31,31.78,147.8,546.94
2010-04-30,27.2,143.7,428.45
2010-05-31,21.69,138.9,310.89
2010-06-30,22.09,139.3,318.9
2010-07-31,27.95,144.4,445.91
2010-08-31,35.84,151.0,657.04
2010-09-30,35.16,150.5,638.94
2010-10-31,38.15,152.7,717.97
2010-11-30,40.44,154.3,780.17
2010-12-31,38.84,153.2,736.89
2011-01-31,37.24,152.0,692.95
2011-02-28,36.13,151.2,664.31
2011-03-31,31.05,147.1,526.67
2011-04-30,31.27,147.3,532.81
2011-05-31,25.86,142.5,396.52
2011-06-30,25.95,142.6,398.64
2011-07-31,33.29,149.0,588.56
2011-08-31,40.64,154.4,785.45
2011-09-30,40.4,154.2,779.11
2011-10-31,42.52,155.6,837.41
2011-11-30,41.31,154.8,803.1
2011-12-31,37.76,152.4,707.18
2012-01-31,34.21,149.8,613.35
2012-02-29,30.66,146.8,515.95
2012-03-31,27.7,144.2,440.2
2012-04-30,23.27,140.3,341.99
2012-05-31,18.25,135.6,243.33
2012-06-30,24.48,141.3,365.8
2012-07-31,30.71,146.8,517.22
2012-08-31,36.94,151.8,685.16
2012-09-30,39.12,153.4,744.49
2012-10-31,37.84,152.4,709.42
2012-11-30,36.86,151.7,683.2
2012-12-31,38.16,152.7,718.33
2013-01-31,37.95,152.5,712.58
2013-02-28,33.78,149.4,601.76
2013-03-31,28.59,144.9,460.88
2013-04-30,21.4,138.7,304.86
2013-05-31,21.28,138.5,302.3
2013-06-30,19.46,136.8,266.34
2013-07-31,27.22,143.8,428.73
2013-08-31,39.57,153.7,756.69
2013-09-30,39.82,153.8,763.72
2013-10-31,40.08,154.0,770.73
2013-11-30,39.4,153.6,752.25
2013-12-31,38.72,153.1,733.69
2014-01-31,39.31,153.5,749.69
2014-02-28,36.52,151.5,674.52
2014-03-31,34.64,150.1,624.99
2014-04-30,28.06,144.5,448.52
2014-05-31,19.34,136.7,264.19
2014-06-30,23.19,140.3,340.53
2014-07-31,29.38,145.6,481.49
2014-08-31,35.57,150.8,649.93
2014-09-30,39.84,153.9,764.31
2014-10-31,38.97,153.3,740.51
2014-11-30,38.68,153.0,732.43
2014-12-31,37.56,152.2,701.81
2015-01-31,35.28,150.6,642.0
2015-02-28,34.97,150.4,633.77
2015-03-31,33.31,149.1,588.95
2015-04-30,31.45,147.5,537.71
2015-05-31,23.92,140.9,354.48
2015-06-30,27.87,144.3,444.13
2015-07-31,31.81,147.8,547.87
2015-08-31,38.84,153.2,736.9
2015-09-30,39.31,153.5,749.83
2015-10-31,38.92,153.2,739.07
2015-11-30,38.72,153.1,733.51
2015-12-31,41.91,155.2,819.68
2016-01-31,37.05,151.9,688.14
2016-02-29,37.61,152.3,703.02
2016-03-31,33.04,148.8,581.68
2016-04-30,25.88,142.6,397.06
2016-05-31,22.25,139.5,322.09
2016-06-30,25.71,142.4,393.05
2016-07-31,38.17,152.7,718.39
2016-08-31,36.11,151.2,663.84
2016-09-30,34.05,149.6,608.99
2016-10-31,31.99,147.9,552.76
2016-11-30,38.45,152.9,726.29
2016-12-31,37.69,152.3,705.36
2017-01-31,37.38,152.1,696.88
2017-02-28,37.96,152.5,712.77
2017-03-31,35.38,150.7,644.69
2017-04-30,30.91,147.0,522.79
2017-05-31,23.07,140.2,338.17
2017-06-30,24.8,141.6,372.7
2017-07-31,30.25,146.4,504.64
2017-08-31,35.69,150.9,653.06
2017-09-30,38.82,153.1,736.21
2017-10-31,39.36,153.5,751.01
2017-11-30,37.92,152.5,711.57
2017-12-31,38.01,152.6,714.22
2018-01-31,38.75,153.1,734.41
2018-02-28,36.82,151.7,682.05
2018-03-31,34.63,150.1,624.57
2018-04-30,28.18,144.6,451.26
2018-05-31,14.91,132.2,187.28
2018-06-30,24.44,141.3,364.99
2018-07-31,33.97,149.6,606.87
2018-08-31,37.57,152.3,702.1
2018-09-30,38.46,152.9,726.61
2018-10-31,38.61,153.0,730.56
2018-11-30,37.82,152.4,708.76
