Time,area_km2,elevation_m,changed_storage_mcm
2008-01-31,2.98,157.8,40.76
2008-02-29,3.24,160.2,48.35
2008-03-31,3.5,162.4,55.63
2008-04-30,3.76,164.2,62.21
2008-05-31,2.55,154.3,31.13
2008-06-30,1.34,143.4,10.36
2008-07-31,3.24,160.3,48.59
2008-08-31,2.39,152.9,27.81
2008-09-30,2.57,154.5,31.63
2008-10-31,1.89,148.3,18.01
2008-11-30,2.17,151.0,23.47
2008-12-31,6.74,193.0,223.95
2009-01-31,5.43,175.3,113.72
2009-02-28,4.9,171.5,93.97
2009-03-31,3.8,164.5,63.28
2009-04-30,2.7,155.4,34.2
2009-05-31,3.16,159.5,46.05
2009-06-30,2.35,152.5,26.87
2009-07-31,2.2,151.3,23.98
2009-08-31,2.05,149.9,21.13
2009-09-30,2.07,150.1,21.5
2009-10-31,1.51,144.8,12.0
2009-11-30,3.66,163.5,59.71
2009-12-31,3.91,165.1,65.79
2010-01-31,5.05,172.5,98.96
2010-02-28,3.86,164.8,64.57
2010-03-31,6.55,188.4,193.43
2010-04-30,4.94,171.7,95.02
2010-05-31,7.5,,
2010-06-30,2.53,154.1,30.7
2010-07-31,2.31,152.2,25.98
2010-08-31,3.82,164.6,63.66
2010-09-30,5.33,174.6,109.96
2010-10-31,2.98,157.8,40.96
2010-11-30,4.16,166.7,72.37
2010-12-31,3.83,164.6,63.96
2011-01-31,3.48,162.3,55.25
2011-02-28,3.13,159.2,45.13
2011-03-31,3.06,158.6,43.3
2011-04-30,3.0,158.0,41.47
2011-05-31,2.94,157.5,39.96
2011-06-30,3.66,163.5,59.76
2011-07-31,4.38,168.2,78.58
2011-08-31,3.95,165.3,66.68
2011-09-30,3.84,164.7,64.23
2011-10-31,3.74,164.1,61.94
2011-11-30,3.64,163.4,59.25
2011-12-31,3.82,164.6,63.66
2012-01-31,4.0,165.7,67.98
2012-02-29,4.17,166.8,72.77
2012-03-31,4.35,168.0,77.63
2012-04-30,4.52,169.1,82.72
2012-05-31,4.34,168.0,77.54
2012-06-30,3.97,165.5,67.25
2012-07-31,3.59,163.0,57.8
2012-08-31,3.21,160.0,47.77
2012-09-30,2.84,156.5,37.21
2012-10-31,2.46,153.5,29.25
2012-11-30,3.37,161.3,52.11
2012-12-31,4.28,167.6,75.86
