Time,area_km2,elevation_m,changed_storage_mcm
2000-01-31,21.18,993.2,177.33
2000-02-29,21.27,993.4,181.89
2000-03-31,21.36,993.7,186.48
2000-04-30,21.85,994.8,211.88
2000-05-31,22.35,996.0,237.9
2000-06-30,22.85,997.2,264.56
2000-07-31,22.16,995.6,228.05
2000-08-31,21.48,993.9,192.67
2000-09-30,20.8,992.3,158.48
2000-10-31,21.43,993.8,190.4
2000-11-30,20.92,992.6,164.54
2000-12-31,22.4,996.1,240.39
2001-01-31,21.48,993.9,192.55
2001-02-28,22.86,997.2,265.35
2001-03-31,22.3,995.9,235.38
2001-04-30,22.05,995.3,221.93
2001-05-31,20.61,991.9,149.33
2001-06-30,20.69,992.1,153.25
2001-07-31,20.77,992.3,157.18
2001-08-31,21.24,993.4,180.61
2001-09-30,18.04,985.8,32.07
2001-10-31,19.54,989.4,98.49
2001-11-30,21.04,992.9,170.41
2001-12-31,20.58,991.8,148.09
2002-01-31,20.71,992.1,154.03
2002-02-28,21.57,994.2,197.2
2002-03-31,22.56,996.5,249.1
2002-04-30,19.39,989.0,91.74
2002-05-31,21.33,993.6,184.91
2002-06-30,20.49,991.6,143.34
2002-07-31,20.58,991.8,148.15
2002-08-31,22.24,995.7,232.05
2002-09-30,23.89,1000.0,330.38
2002-10-31,22.07,995.3,223.09
2002-11-30,20.24,991.0,131.35
2002-12-31,21.26,993.4,181.78
2003-01-31,21.69,994.4,203.5
2003-02-28,21.82,994.7,210.09
2003-03-31,23.73,999.3,313.35
2003-04-30,20.42,991.4,140.15
2003-05-31,23.69,999.2,311.14
2003-06-30,22.48,996.3,244.79
2003-07-31,21.27,993.4,182.06
2003-08-31,20.06,990.6,122.98
2003-09-30,19.95,990.3,117.85
2003-10-31,19.84,990.1,112.74
2003-11-30,21.37,993.7,186.89
2003-12-31,20.74,992.2,155.73
2004-01-31,23.7,999.2,312.06
2004-02-29,23.53,998.8,302.08
2004-03-31,20.28,991.1,133.35
2004-04-30,23.45,998.6,297.7
2004-05-31,20.06,990.6,122.85
2004-06-30,21.18,993.2,177.54
2004-07-31,22.3,995.9,235.34
2004-08-31,22.04,995.3,221.64
2004-09-30,21.56,994.1,196.79
2004-10-31,21.08,993.0,172.52
2004-11-30,19.83,990.0,112.23
2004-12-31,21.7,994.5,204.16
2005-01-31,21.43,993.8,189.99
2005-02-28,22.05,995.3,222.09
2005-03-31,20.96,992.7,166.56
2005-04-30,19.48,989.2,95.82
2005-05-31,23.66,999.1,309.81
2005-06-30,23.07,997.7,277.09
2005-07-31,22.49,996.3,245.24
2005-08-31,21.9,994.9,214.21
2005-09-30,21.31,993.5,184.09
2005-10-31,20.22,991.0,130.61
2005-11-30,21.16,993.2,176.8
2005-12-31,21.28,993.5,182.48
2006-01-31,21.39,993.7,188.2
2006-02-28,21.82,994.8,210.34
2006-03-31,23.39,998.5,294.52
2006-04-30,21.05,992.9,171.05
2006-05-31,21.58,994.2,197.75
2006-06-30,20.9,992.6,163.74
2006-07-31,20.23,991.0,130.86
2006-08-31,21.1,993.1,173.71
2006-09-30,21.05,992.9,170.99
2006-10-31,21.0,992.8,168.63
2006-11-30,20.63,991.9,150.12
2006-12-31,21.04,992.9,170.48
2007-01-31,20.57,991.8,147.26
2007-02-28,20.74,992.2,155.65
2007-03-31,21.79,994.7,208.87
2007-04-30,22.54,996.5,248.27
2007-05-31,19.57,989.4,100.22
2007-06-30,19.54,989.4,98.57
2007-07-31,20.66,992.0,151.82
2007-08-31,21.78,994.7,208.18
2007-09-30,20.7,992.1,153.71
2007-10-31,19.62,989.5,102.12
2007-11-30,18.53,987.0,53.4
2007-12-31,18.63,987.2,57.84
2008-01-31,20.32,991.2,135.16
2008-02-29,21.24,993.4,180.56
2008-03-31,21.82,994.7,209.93
2008-04-30,21.54,994.1,195.99
2008-05-31,20.19,990.9,128.87
2008-06-30,20.82,992.4,159.74
2008-07-31,21.46,993.9,191.61
2008-08-31,21.09,993.0,173.21
2008-09-30,20.73,992.2,155.18
2008-10-31,20.7,992.1,153.96
2008-11-30,20.68,992.0,152.74
2008-12-31,21.64,994.3,200.74
2009-01-31,20.55,991.8,146.59
2009-02-28,22.02,995.2,220.73
2009-03-31,21.97,995.1,217.87
2009-04-30,21.98,995.1,218.68
2009-05-31,22.5,996.4,246.05
2009-06-30,18.34,986.5,44.91
2009-07-31,18.45,986.8,49.72
2009-08-31,18.56,987.0,54.55
2009-09-30,18.67,987.3,59.44
2009-10-31,18.01,985.8,31.09
2009-11-30,19.58,989.4,100.34
2009-12-31,19.49,989.2,96.44
2010-01-31,18.36,986.6,46.04
2010-02-28,22.95,997.4,270.31
2010-03-31,22.91,997.3,267.85
2010-04-30,23.43,998.6,296.57
2010-05-31,20.76,992.2,156.61
2010-06-30,20.38,991.3,138.31
2010-07-31,20.01,990.5,120.37
2010-08-31,19.63,989.6,102.81
2010-09-30,19.64,989.6,103.11
2010-10-31,20.02,990.5,121.05
2010-11-30,20.4,991.4,139.38
2010-12-31,19.93,990.3,116.71
2011-01-31,21.1,993.1,173.7
2011-02-28,20.74,992.2,155.69
2011-03-31,20.01,990.5,120.72
2011-04-30,21.77,994.6,207.7
2011-05-31,20.42,991.4,140.15
2011-06-30,21.11,993.1,173.93
2011-07-31,21.8,994.7,208.89
2011-08-31,22.48,996.3,245.05
2011-09-30,19.05,988.2,76.46
2011-10-31,19.45,989.1,94.34
2011-11-30,19.06,988.2,76.93
2011-12-31,18.68,987.3,59.87
2012-01-31,19.08,988.3,77.7
2012-02-29,20.09,990.6,124.2
2012-03-31,20.91,992.6,164.07
2012-04-30,21.73,994.5,205.63
2012-05-31,22.55,996.5,248.89
2012-06-30,21.79,994.7,208.85
2012-07-31,21.03,992.9,170.27
2012-08-31,20.27,991.1,133.11
2012-09-30,19.51,989.3,97.44
2012-10-31,18.75,987.5,63.12
2012-11-30,19.25,988.7,85.23
2012-12-31,19.08,988.3,77.92
2013-01-31,19.88,990.2,114.57
2013-02-28,20.46,991.5,142.11
2013-03-31,21.34,993.6,185.56
2013-04-30,21.51,994.0,194.45
2013-05-31,20.01,990.5,120.63
2013-06-30,18.76,987.5,63.5
2013-07-31,18.45,986.8,49.67
2013-08-31,18.13,986.0,36.07
2013-09-30,19.71,989.8,106.56
2013-10-31,18.05,985.9,32.71
2013-11-30,19.39,989.0,91.94
2013-12-31,20.74,992.2,155.5
2014-01-31,19.14,988.4,80.29
2014-02-28,19.15,988.4,80.69
2014-03-31,20.61,991.9,149.37
2014-04-30,20.89,992.5,162.97
2014-05-31,19.93,990.3,116.65
2014-06-30,18.97,988.0,72.59
2014-07-31,18.01,985.7,30.8
2014-08-31,18.78,987.6,64.1
2014-09-30,19.54,989.4,98.87
2014-10-31,19.52,989.3,97.94
2014-11-30,19.38,989.0,91.42
2014-12-31,20.44,991.5,141.17
2015-01-31,19.29,988.8,87.31
2015-02-28,20.82,992.4,159.48
2015-03-31,21.52,994.0,194.91
2015-04-30,20.51,991.7,144.69
2015-05-31,19.92,990.3,116.45
2015-06-30,20.1,990.7,124.75
2015-07-31,19.78,989.9,109.85
2015-08-31,19.47,989.2,95.2
2015-09-30,19.73,989.8,107.54
2015-10-31,20.0,990.4,120.04
2015-11-30,19.05,988.2,76.44
2015-12-31,19.58,989.5,100.7
2016-01-31,19.65,989.6,103.72
2016-02-29,19.22,988.6,83.87
2016-03-31,20.62,991.9,149.73
2016-04-30,20.27,991.1,132.76
2016-05-31,18.18,986.2,38.33
2016-06-30,18.86,987.8,67.92
2016-07-31,19.54,989.4,98.64
2016-08-31,20.22,991.0,130.44
2016-09-30,17.33,984.0,0.03
2016-10-31,19.49,989.3,96.56
2016-11-30,19.17,988.5,81.62
2016-12-31,19.89,990.2,114.89
2017-01-31,19.71,989.8,106.33
2017-02-28,20.61,991.9,149.37
2017-03-31,20.12,990.7,125.56
2017-04-30,19.04,988.2,75.73
2017-05-31,18.51,986.9,52.59
2017-06-30,18.35,986.6,45.61
2017-07-31,18.19,986.2,38.67
2017-08-31,18.32,986.5,44.31
2017-09-30,18.14,986.1,36.57
2017-10-31,17.96,985.6,28.95
2017-11-30,19.72,989.8,106.9
