Time,area_km2,elevation_m,changed_storage_mcm
2008-01-31,4.34,879.5,119.14
2008-02-29,6.3,892.6,188.79
2008-03-31,7.81,906.7,289.37
2008-04-30,8.27,984.7,928.51
2008-05-31,7.29,900.2,240.68
2008-06-30,6.78,895.8,209.57
2008-07-31,6.26,892.4,187.43
2008-08-31,5.75,889.2,168.17
2008-09-30,7.38,901.0,246.65
2008-10-31,7.35,900.8,244.77
2008-11-30,7.59,903.5,265.01
2008-12-31,8.06,912.6,336.96
2009-01-31,6.83,896.2,212.28
2009-02-28,6.78,895.9,209.89
2009-03-31,8.34,1081.9,1736.15
2009-04-30,5.41,887.2,156.97
2009-05-31,7.28,900.1,239.77
2009-06-30,5.08,884.8,144.49
2009-07-31,4.27,878.9,116.6
2009-08-31,3.45,871.7,88.95
2009-09-30,7.32,900.5,242.84
2009-10-31,6.83,896.2,212.42
2009-11-30,6.75,895.6,208.05
2009-12-31,6.98,897.4,220.31
2010-01-31,6.39,893.2,192.28
2010-02-28,6.46,893.7,195.61
2010-03-31,8.27,986.5,943.47
2010-04-30,5.88,890.0,172.82
2010-05-31,8.1,914.9,355.29
2010-06-30,7.09,898.3,226.49
2010-07-31,6.08,891.3,180.37
2010-08-31,5.07,884.7,144.05
2010-09-30,7.94,909.2,309.26
2010-10-31,6.92,896.9,217.13
2010-11-30,7.37,900.9,245.91
2010-12-31,6.16,891.8,183.38
2011-01-31,6.96,897.2,219.1
2011-02-28,7.28,900.1,239.71
2011-03-31,7.79,906.2,285.45
2011-04-30,8.31,1032.4,1324.44
2011-05-31,5.78,889.4,169.13
2011-06-30,6.21,892.1,185.59
2011-07-31,6.65,894.9,203.5
2011-08-31,5.78,889.4,169.26
2011-09-30,4.91,883.5,138.04
2011-10-31,5.94,890.4,174.96
2011-11-30,7.61,903.7,266.66
2011-12-31,7.02,897.7,222.33
2012-01-31,6.42,893.4,193.86
2012-02-29,7.2,899.3,233.84
2012-03-31,5.58,888.3,162.73
2012-04-30,6.36,893.0,191.05
2012-05-31,5.39,887.1,156.18
2012-06-30,5.28,886.2,151.75
2012-07-31,5.16,885.4,147.47
2012-08-31,5.05,884.6,143.2
2012-09-30,5.29,886.3,152.24
2012-10-31,4.27,878.9,116.66
2012-11-30,5.55,888.1,161.93
2012-12-31,5.89,890.1,173.2
2013-01-31,8.11,916.6,369.05
2013-02-28,4.58,881.1,126.48
2013-03-31,4.6,881.2,127.09
2013-04-30,5.45,887.4,158.28
2013-05-31,3.13,868.6,78.71
2013-06-30,4.37,879.7,120.06
2013-07-31,4.1,877.5,110.71
2013-08-31,5.34,886.7,154.11
2013-09-30,6.58,894.5,200.54
2013-10-31,6.86,896.5,214.03
2013-11-30,6.43,893.5,194.1
2013-12-31,5.29,886.3,152.37
2014-01-31,5.5,887.8,160.34
2014-02-28,4.94,883.8,139.17
2014-03-31,6.37,893.1,191.72
2014-04-30,5.18,885.5,148.16
2014-05-31,7.93,909.0,307.81
2014-06-30,2.97,867.2,74.54
2014-07-31,4.43,880.1,122.06
2014-08-31,6.71,895.3,206.13
2014-09-30,4.14,877.9,112.36
2014-10-31,6.79,895.9,210.0
2014-11-30,6.71,895.3,206.29
2014-12-31,6.44,893.5,194.59
2015-01-31,5.16,885.4,147.22
2015-02-28,6.08,891.3,180.22
2015-03-31,4.6,881.3,127.27
2015-04-30,4.85,883.1,136.0
2015-05-31,7.57,903.2,263.01
2015-06-30,6.7,895.3,205.91
2015-07-31,5.83,889.7,170.87
2015-08-31,4.0,876.6,107.27
2015-09-30,4.76,882.5,132.92
2015-10-31,5.32,886.6,153.6
2015-11-30,5.19,885.6,148.28
2015-12-31,6.22,892.1,185.69
2016-01-31,5.51,887.8,160.47
2016-02-29,4.52,880.7,124.72
2016-03-31,4.27,878.9,116.64
2016-04-30,3.28,870.0,83.41
2016-05-31,6.21,892.1,185.41
2016-06-30,4.25,878.8,116.16
2016-07-31,4.99,884.1,140.8
2016-08-31,6.76,895.7,208.61
2016-09-30,5.4,887.2,156.67
2016-10-31,6.58,894.5,200.5
2016-11-30,6.97,897.3,219.92
2016-12-31,4.35,879.5,119.34
2017-01-31,6.6,894.6,201.42
2017-02-28,6.48,893.8,196.21
2017-03-31,6.34,892.9,190.24
2017-04-30,5.58,888.3,162.76
2017-05-31,4.7,882.0,130.62
2017-06-30,5.21,885.8,149.3
2017-07-31,5.73,889.1,167.53
2017-08-31,4.85,883.1,136.11
2017-09-30,4.03,876.9,108.37
2017-10-31,5.91,890.2,173.64
2017-11-30,6.64,894.9,203.11
2017-12-31,6.49,893.9,196.87
2018-01-31,5.64,888.6,164.8
2018-02-28,5.35,886.8,154.69
2018-03-31,4.79,882.7,133.82
2018-04-30,5.82,889.7,170.71
2018-05-31,5.71,889.0,166.98
2018-06-30,3.52,872.4,91.4
2018-07-31,6.1,891.4,181.27
2018-08-31,5.07,884.7,144.04
2018-09-30,6.22,892.2,186.03
2018-10-31,6.61,894.7,201.84
2018-11-30,6.96,897.3,219.49
2018-12-31,7.03,897.8,223.26
2019-01-31,7.21,899.4,234.92
2019-02-28,6.78,895.8,209.68
2019-03-31,6.74,895.5,207.69
2019-04-30,6.31,892.7,189.1
2019-05-31,7.74,905.4,279.75
2019-06-30,7.57,903.2,262.49
2019-07-31,5.9,890.1,173.58
2019-08-31,4.69,882.0,130.45
2019-09-30,5.01,884.3,141.58
2019-10-31,5.16,885.4,147.46
2019-11-30,4.46,880.3,122.94
2019-12-31,4.46,880.3,122.87
2020-01-31,3.91,875.8,104.22
2020-02-29,7.56,903.0,261.07
2020-03-31,2.9,866.5,72.4
2020-04-30,6.0,890.8,177.32
2020-05-31,6.4,893.3,192.91
2020-06-30,3.0,867.4,75.2
2020-07-31,5.5,887.8,160.16
2020-08-31,6.07,891.2,180.09
2020-09-30,6.21,892.1,185.54
2020-10-31,5.59,888.3,163.25
2020-11-30,5.09,884.9,144.86
2020-12-31,4.05,877.1,109.13
2021-01-31,4.62,881.4,127.71
2021-02-28,4.2,878.3,114.28
2021-03-31,3.55,872.7,92.49
