Time,area_km2,elevation_m,changed_storage_mcm
2010-01-31,45.48,202.9,1880.46
2010-02-28,45.48,202.9,1880.46
2010-03-31,45.48,202.9,1880.46
2010-04-30,25.02,171.8,800.75
2010-05-31,20.45,163.5,612.06
2010-06-30,24.95,171.7,797.46
2010-07-31,25.31,172.3,813.34
2010-08-31,25.68,173.0,829.51
2010-09-30,26.04,173.6,845.6
2010-10-31,20.83,164.3,628.19
2010-11-30,38.38,192.9,1462.46
2010-12-31,16.83,156.2,476.64
2011-01-31,20.77,164.2,625.82
2011-02-28,24.71,171.3,787.58
2011-03-31,28.65,178.1,969.05
2011-04-30,32.59,184.4,1161.21
2011-05-31,23.71,169.5,744.7
2011-06-30,22.22,166.9,684.97
2011-07-31,24.9,171.6,795.61
2011-08-31,30.99,181.8,1080.18
2011-09-30,44.25,201.1,1800.6
2011-10-31,37.57,191.8,1420.97
2011-11-30,42.14,198.2,1675.34
2011-12-31,15.6,153.8,436.77
2012-01-31,36.98,191.0,1390.97
2012-02-29,29.26,179.2,999.31
2012-03-31,30.64,181.3,1063.8
2012-04-30,32.03,183.5,1132.93
2012-05-31,30.17,180.6,1041.84
2012-06-30,28.31,177.5,952.4
2012-07-31,26.44,174.3,863.71
2012-08-31,24.58,171.1,781.99
2012-09-30,19.97,162.6,592.93
2012-10-31,31.52,182.7,1107.33
2012-11-30,28.58,178.0,965.57
2012-12-31,25.57,172.8,825.0
2013-01-31,22.57,167.6,699.01
2013-02-28,29.53,179.6,1012.23
2013-03-31,36.49,190.3,1364.79
2013-04-30,37.74,192.0,1429.29
2013-05-31,34.8,187.8,1276.89
2013-06-30,31.87,183.3,1124.81
2013-07-31,33.32,185.5,1198.11
2013-08-31,34.77,187.8,1275.42
2013-09-30,36.34,190.1,1356.6
2013-10-31,31.03,181.9,1082.13
2013-11-30,34.97,188.1,1285.43
2013-12-31,38.9,193.6,1490.62
2014-01-31,38.01,192.4,1443.2
2014-02-28,34.68,187.6,1270.63
2014-03-31,42.31,198.4,1685.74
2014-04-30,49.95,209.5,2199.11
2014-05-31,29.53,179.6,1012.24
2014-06-30,33.59,185.9,1211.64
2014-07-31,23.42,169.1,733.23
2014-08-31,26.22,173.9,853.39
2014-09-30,16.47,155.5,464.5
2014-10-31,36.73,190.6,1377.87
2014-11-30,33.25,185.4,1194.53
2014-12-31,34.06,186.7,1238.11
2015-01-31,38.74,193.4,1482.05
2015-02-28,38.46,193.0,1466.74
2015-03-31,32.23,183.8,1142.77
2015-04-30,25.99,173.5,843.36
2015-05-31,23.95,169.9,754.39
2015-06-30,29.61,179.7,1015.97
2015-07-31,35.26,188.5,1300.5
2015-08-31,27.63,176.4,920.26
2015-09-30,29.75,180.0,1022.7
2015-10-31,37.29,191.4,1406.68
2015-11-30,30.44,181.0,1054.08
2015-12-31,31.25,182.3,1093.28
2016-01-31,29.17,179.0,995.24
2016-02-29,36.48,190.3,1364.47
2016-03-31,42.53,198.7,1698.02
