Time,area_km2,elevation_m,changed_storage_mcm
2019-01-31,0.52,200.2,6.15
2019-02-28,0.57,201.7,6.98
2019-03-31,0.73,209.1,11.83
2019-04-30,0.57,201.7,6.96
2019-05-31,0.59,202.5,7.44
2019-06-30,0.62,203.6,8.12
2019-07-31,0.72,208.4,11.3
2019-08-31,0.57,201.7,6.94
2019-09-30,0.42,197.2,4.72
2019-10-31,0.47,198.5,5.28
2019-11-30,0.54,200.8,6.45
2019-12-31,0.45,197.9,5.04
2020-01-31,0.59,202.6,7.46
2020-02-29,0.54,200.8,6.48
2020-03-31,0.7,207.1,10.38
2020-04-30,0.59,202.5,7.4
2020-05-31,0.61,203.3,7.94
2020-06-30,0.62,203.7,8.16
2020-07-31,0.54,200.9,6.53
2020-08-31,0.53,200.5,6.3
2020-09-30,0.53,200.3,6.18
2020-10-31,0.5,199.5,5.78
2020-11-30,0.65,204.9,8.91
2020-12-31,0.4,196.9,4.59
2021-01-31,0.54,200.8,6.48
2021-02-28,0.58,202.2,7.24
2021-03-31,0.58,202.1,7.18
2021-04-30,0.57,201.6,6.92
2021-05-31,0.56,201.6,6.89
2021-06-30,0.65,205.1,9.03
2021-07-31,0.74,209.8,12.36
2021-08-31,0.48,198.7,5.38
2021-09-30,0.7,207.5,10.7
2021-10-31,0.51,199.9,5.98
2021-11-30,0.54,200.6,6.37
2021-12-31,0.56,201.3,6.75
2022-01-31,0.58,202.0,7.11
2022-02-28,0.5,199.3,5.69
2022-03-31,0.53,200.3,6.22
2022-04-30,0.59,202.3,7.32
2022-05-31,0.55,201.1,6.64
2022-06-30,0.53,200.6,6.33
2022-07-31,0.52,200.2,6.15
2022-08-31,0.47,198.5,5.29
2022-09-30,0.59,202.5,7.42
2022-10-31,0.44,197.8,4.97
2022-11-30,0.56,201.5,6.87
2022-12-31,0.55,201.3,6.71
2023-01-31,0.54,201.0,6.55
2023-02-28,0.56,201.4,6.77
2023-03-31,0.57,201.8,7.03
2023-04-30,0.73,208.9,11.68
2023-05-31,0.52,200.2,6.15
2023-06-30,0.49,199.1,5.57
2023-07-31,0.49,199.2,5.66
2023-08-31,0.56,201.4,6.77
2023-09-30,0.61,203.3,7.92
2023-10-31,0.45,198.0,5.05
2023-11-30,0.56,201.4,6.8
2023-12-31,0.34,194.9,3.85
2024-01-31,0.46,198.3,5.21
2024-02-29,0.57,201.6,6.9
2024-03-31,0.43,197.5,4.85
2024-04-30,0.34,194.9,3.86
2024-05-31,0.62,203.5,8.04
2024-06-30,0.4,196.8,4.56
2024-07-31,0.5,199.4,5.73
2024-08-31,0.5,199.4,5.74
2024-09-30,0.55,201.1,6.64
2024-10-31,0.39,196.4,4.41
2024-11-30,0.6,202.7,7.51
2024-12-31,0.5,199.4,5.75
2025-01-31,0.4,196.9,4.59
2025-02-28,0.31,193.2,3.43
2025-03-31,0.54,200.7,6.38
2025-04-30,0.58,202.0,7.11
2025-05-31,0.52,200.0,6.02
