Time,area_km2,elevation_m,changed_storage_mcm
2013-01-31,5.21,104.4,71.22
2013-02-28,5.21,104.4,71.22
2013-03-31,5.21,104.4,71.22
2013-04-30,5.39,104.9,74.01
2013-05-31,3.79,99.9,50.86
2013-06-30,3.74,99.7,50.19
2013-07-31,4.64,102.5,62.06
2013-08-31,4.51,102.1,60.22
2013-09-30,4.38,101.7,58.35
2013-10-31,6.18,107.3,87.52
2013-11-30,6.46,108.1,93.05
2013-12-31,6.74,109.0,98.96
2014-01-31,7.03,110.0,105.9
2014-02-28,7.03,110.1,105.92
2014-03-31,6.96,109.8,104.34
2014-04-30,8.53,115.2,146.34
2014-05-31,6.15,107.2,87.04
2014-06-30,6.59,108.5,95.7
2014-07-31,3.91,100.2,52.18
2014-08-31,7.54,111.7,118.1
2014-09-30,4.09,100.8,54.35
2014-10-31,6.31,107.7,90.12
2014-11-30,4.83,103.2,65.04
2014-12-31,6.39,107.9,91.68
2015-01-31,7.95,113.2,129.68
2015-02-28,11.12,125.2,244.72
2015-03-31,9.1,117.2,164.01
2015-04-30,8.0,113.4,130.97
2015-05-31,6.34,107.8,90.59
2015-06-30,4.36,101.6,57.98
2015-07-31,7.03,110.1,106.06
2015-08-31,5.36,104.8,73.54
2015-09-30,4.77,103.0,63.99
2015-10-31,4.76,102.9,63.87
2015-11-30,6.84,109.4,101.33
2015-12-31,6.78,109.2,99.93
2016-01-31,5.75,106.0,79.79
2016-02-29,7.71,112.3,122.65
2016-03-31,8.11,113.7,133.95
2016-04-30,8.2,114.0,136.38
2016-05-31,8.74,116.0,153.09
2016-06-30,6.92,109.7,103.24
2016-07-31,5.65,105.7,78.12
2016-08-31,6.14,107.2,86.79
2016-09-30,6.26,107.5,89.06
2016-10-31,5.71,105.8,79.07
2016-11-30,6.79,109.2,100.17
2016-12-31,7.88,113.0,127.68
2017-01-31,8.96,116.8,159.64
2017-02-28,11.03,124.8,240.19
2017-03-31,10.93,124.4,235.48
2017-04-30,10.99,124.6,238.46
2017-05-31,10.65,123.2,222.47
2017-06-30,9.67,119.3,182.9
2017-07-31,7.33,111.1,113.1
2017-08-31,8.68,115.8,151.22
2017-09-30,6.55,108.4,94.93
2017-10-31,5.25,104.5,71.95
2017-11-30,8.3,114.4,139.36
2017-12-31,9.13,117.3,164.87
2018-01-31,9.96,120.4,194.5
2018-02-28,10.79,123.8,228.98
2018-03-31,10.61,123.0,220.79
2018-04-30,10.22,121.5,205.07
2018-05-31,9.21,117.6,167.65
2018-06-30,10.14,121.2,201.78
2018-07-31,8.45,115.0,143.92
2018-08-31,6.9,109.6,102.77
2018-09-30,8.08,113.7,133.17
2018-10-31,6.41,108.0,92.04
2018-11-30,7.56,111.8,118.71
2018-12-31,7.22,110.7,110.45
2019-01-31,8.42,114.8,142.99
2019-02-28,11.65,127.8,274.25
2019-03-31,11.72,128.2,278.46
2019-04-30,10.93,124.3,235.27
2019-05-31,10.2,121.4,204.21
2019-06-30,8.77,116.1,154.08
2019-07-31,6.77,109.1,99.7
2019-08-31,3.49,98.8,47.17
2019-09-30,7.69,112.3,122.27
2019-10-31,7.55,111.8,118.33
2019-11-30,10.34,121.9,209.62
2019-12-31,7.85,112.9,126.87
2020-01-31,10.45,122.4,214.48
2020-02-29,10.78,123.7,228.37
2020-03-31,11.34,126.2,255.66
2020-04-30,10.92,124.3,234.65
2020-05-31,10.38,122.1,211.52
2020-06-30,9.36,118.2,172.4
2020-07-31,7.92,113.1,128.83
2020-08-31,7.11,110.3,107.84
2020-09-30,6.82,109.3,100.78
2020-10-31,9.25,117.8,168.82
2020-11-30,10.85,124.0,231.67
2020-12-31,12.12,130.5,306.89
2021-01-31,5.48,105.2,75.37
2021-02-28,11.51,127.1,266.04
2021-03-31,11.96,129.5,294.98
2021-04-30,11.62,127.6,272.25
2021-05-31,10.45,122.4,214.44
2021-06-30,10.75,123.6,226.91
2021-07-31,9.0,116.9,160.66
2021-08-31,9.42,118.4,174.41
2021-09-30,8.76,116.1,153.78
2021-10-31,11.99,129.7,297.13
2021-11-30,9.94,120.3,193.52
2021-12-31,13.05,140.0,427.01
2022-01-31,11.3,126.0,253.24
2022-02-28,9.4,118.3,173.78
2022-03-31,11.12,125.2,244.55
2022-04-30,11.42,126.6,260.56
2022-05-31,11.1,125.1,243.53
2022-06-30,10.59,122.9,220.25
2022-07-31,11.3,126.0,253.33
2022-08-31,8.32,114.5,140.16
2022-09-30,7.93,113.1,129.02
2022-10-31,9.54,118.8,178.4
2022-11-30,10.06,120.9,198.61
2022-12-31,6.97,109.9,104.59
2023-01-31,10.55,122.8,218.54
2023-02-28,11.27,125.8,251.92
2023-03-31,11.45,126.8,262.46
2023-04-30,11.62,127.6,272.6
2023-05-31,10.18,121.3,203.29
2023-06-30,9.68,119.3,183.29
2023-07-31,8.89,116.5,157.63
2023-08-31,5.77,106.0,80.02
2023-09-30,5.86,106.3,81.77
2023-10-31,8.42,114.8,142.92
2023-11-30,13.2,144.9,491.5
2023-12-31,9.8,119.8,188.07
2024-01-31,9.14,117.4,165.23
2024-02-29,11.39,126.4,258.66
2024-03-31,10.73,123.5,226.18
2024-04-30,10.58,122.9,219.61
2024-05-31,10.42,122.2,212.94
2024-06-30,9.36,118.2,172.54
2024-07-31,8.96,116.7,159.46
2024-08-31,6.81,109.3,100.65
2024-09-30,6.62,108.7,96.4
2024-10-31,7.37,111.2,114.12
2024-11-30,9.98,120.5,195.41
2024-12-31,8.02,113.5,131.58
2025-01-31,6.06,106.9,85.29
2025-02-28,4.1,100.8,54.38
2025-03-31,11.1,125.1,243.53
2025-04-30,11.16,125.3,246.3
2025-05-31,10.19,121.4,203.87
