Time,area_km2,elevation_m,changed_storage_mcm
2019-01-31,7.92,198.2,69.46
2019-02-28,7.98,198.4,70.63
2019-03-31,7.86,198.1,68.27
2019-04-30,8.88,200.9,92.25
2019-05-31,6.84,196.4,55.92
2019-06-30,8.23,199.0,75.57
2019-07-31,6.86,196.4,56.07
2019-08-31,5.48,194.0,43.98
2019-09-30,8.54,199.9,83.11
2019-10-31,8.73,200.5,88.27
2019-11-30,8.77,200.6,89.41
2019-12-31,8.49,199.7,81.86
2020-01-31,8.8,200.7,90.2
2020-02-29,8.92,201.1,93.71
2020-03-31,7.89,198.1,68.76
2020-04-30,8.49,199.7,81.95
2020-05-31,8.72,200.5,88.0
2020-06-30,6.43,195.8,51.97
2020-07-31,8.4,199.5,79.85
2020-08-31,8.24,199.0,75.77
2020-09-30,5.34,193.6,42.82
2020-10-31,6.92,196.5,56.71
2020-11-30,8.5,199.8,82.2
2020-12-31,8.43,199.6,80.55
2021-01-31,8.66,200.3,86.45
2021-02-28,8.82,200.8,90.73
2021-03-31,8.05,198.6,72.09
2021-04-30,8.3,199.2,77.27
2021-05-31,8.72,200.5,88.05
2021-06-30,8.81,200.7,90.38
2021-07-31,8.04,198.5,71.87
2021-08-31,7.6,197.6,64.64
2021-09-30,8.21,198.9,75.23
2021-10-31,8.9,201.0,92.83
2021-11-30,8.73,200.5,88.27
2021-12-31,8.45,199.6,81.1
2022-01-31,8.47,199.7,81.55
2022-02-28,5.99,195.2,48.15
2022-03-31,8.94,201.2,94.34
2022-04-30,8.77,200.6,89.32
2022-05-31,6.83,196.4,55.84
2022-06-30,8.55,199.9,83.57
2022-07-31,9.12,202.1,102.4
2022-08-31,6.67,196.2,54.21
2022-09-30,6.91,196.5,56.57
2022-10-31,6.09,195.3,49.05
2022-11-30,8.58,200.0,84.23
2022-12-31,8.96,201.3,95.22
2023-01-31,8.74,200.5,88.5
2023-02-28,9.2,202.5,106.41
2023-03-31,8.47,199.7,81.54
2023-04-30,9.89,209.1,170.22
2023-05-31,8.98,201.4,96.33
2023-06-30,8.64,200.2,85.79
2023-07-31,8.45,199.6,81.12
2023-08-31,7.71,197.8,66.02
2023-09-30,6.96,196.6,57.11
2023-10-31,6.88,196.5,56.29
2023-11-30,6.21,195.5,50.07
2023-12-31,6.41,195.8,51.81
2024-01-31,6.02,195.2,48.42
2024-02-29,8.83,200.8,91.03
2024-03-31,8.9,201.0,92.91
2024-04-30,8.82,200.8,90.69
2024-05-31,8.77,200.6,89.39
2024-06-30,7.76,197.9,66.67
2024-07-31,7.43,197.3,62.34
2024-08-31,8.03,198.5,71.64
2024-09-30,6.8,196.3,55.51
2024-10-31,8.28,199.1,76.86
2024-11-30,8.26,199.1,76.4
2024-12-31,8.78,200.6,89.53
2025-01-31,8.69,200.4,87.23
2025-02-28,8.97,201.4,95.96
2025-03-31,7.75,197.9,66.61
2025-04-30,8.55,199.9,83.47
2025-05-31,8.12,198.7,73.35
