Time,area_km2,elevation_m,changed_storage_mcm
2016-01-31,10.26,255.2,410.21
2016-02-29,6.28,234.7,240.18
2016-03-31,10.4,255.9,418.27
2016-04-30,10.14,254.5,403.82
2016-05-31,10.19,254.8,406.34
2016-06-30,8.63,246.4,327.59
2016-07-31,8.48,245.6,320.77
2016-08-31,8.72,246.8,331.32
2016-09-30,7.43,240.3,278.39
2016-10-31,9.23,249.6,355.69
2016-11-30,5.9,233.1,230.36
2016-12-31,8.25,244.4,310.36
2017-01-31,10.61,257.2,431.34
2017-02-28,7.91,242.7,296.54
2017-03-31,9.24,249.6,356.42
2017-04-30,10.8,258.5,445.84
2017-05-31,10.82,258.6,446.9
2017-06-30,10.22,254.9,407.9
2017-07-31,8.73,246.9,331.89
2017-08-31,9.83,252.8,386.79
2017-09-30,9.39,250.4,363.92
2017-10-31,9.73,252.3,381.42
2017-11-30,10.76,258.2,442.61
2017-12-31,8.52,245.8,322.58
2018-01-31,6.29,234.8,240.51
2018-02-28,8.13,243.8,305.5
2018-03-31,10.72,258.0,440.06
2018-04-30,10.63,257.3,433.06
2018-05-31,10.74,258.2,441.74
2018-06-30,10.81,258.6,446.58
2018-07-31,7.76,241.9,290.19
2018-08-31,7.87,242.5,294.87
2018-09-30,7.02,238.3,263.8
2018-10-31,8.25,244.4,310.39
2018-11-30,8.18,244.0,307.39
2018-12-31,9.51,251.1,370.1
2019-01-31,9.81,252.7,385.9
2019-02-28,10.19,254.8,406.48
2019-03-31,9.86,253.0,388.23
2019-04-30,9.85,253.0,388.09
2019-05-31,9.45,250.8,367.03
2019-06-30,8.65,246.5,328.39
2019-07-31,8.28,244.5,311.76
2019-08-31,6.64,236.5,251.3
2019-09-30,7.74,241.8,289.44
2019-10-31,8.83,247.4,336.56
2019-11-30,10.42,256.1,419.9
2019-12-31,8.59,246.2,325.45
2020-01-31,10.26,255.2,410.65
2020-02-29,10.33,255.6,414.65
2020-03-31,10.41,256.0,419.06
2020-04-30,9.86,253.0,388.69
2020-05-31,10.4,256.0,418.71
2020-06-30,10.09,254.2,400.78
2020-07-31,9.62,251.7,375.55
2020-08-31,8.4,245.2,316.79
2020-09-30,7.87,242.5,295.01
2020-10-31,10.69,257.8,438.02
2020-11-30,11.55,264.1,508.23
2020-12-31,11.09,260.4,466.66
2021-01-31,5.32,229.0,212.81
2021-02-28,9.88,253.1,389.82
2021-03-31,11.23,261.5,478.75
2021-04-30,9.74,252.3,382.06
2021-05-31,9.76,252.5,383.36
2021-06-30,9.59,251.5,374.04
2021-07-31,11.28,261.9,483.14
2021-08-31,7.69,241.6,287.87
2021-09-30,11.17,261.1,473.53
2021-10-31,9.57,251.4,373.24
2021-11-30,12.93,287.0,792.62
2021-12-31,6.75,237.0,254.76
2022-01-31,10.82,258.7,447.46
2022-02-28,6.97,238.0,261.83
2022-03-31,10.39,255.9,417.97
2022-04-30,10.42,256.0,419.37
2022-05-31,11.1,260.5,467.38
2022-06-30,9.55,251.3,372.19
2022-07-31,9.25,249.7,356.85
2022-08-31,9.91,253.3,391.08
2022-09-30,9.37,250.3,362.87
2022-10-31,10.69,257.7,437.35
2022-11-30,10.36,255.7,416.28
2022-12-31,10.43,256.1,420.0
2023-01-31,10.29,255.4,412.23
2023-02-28,9.94,253.4,392.73
2023-03-31,8.55,246.0,324.01
2023-04-30,10.98,259.7,458.3
2023-05-31,8.78,247.1,333.88
2023-06-30,8.77,247.1,333.64
2023-07-31,8.47,245.6,320.24
2023-08-31,8.4,245.2,316.99
2023-09-30,8.36,245.0,315.16
2023-10-31,10.01,253.8,396.86
2023-11-30,11.58,264.3,510.94
2023-12-31,9.89,253.1,389.83
2024-01-31,8.19,244.1,307.82
2024-02-29,9.66,251.9,377.59
2024-03-31,6.18,234.3,237.63
2024-04-30,10.45,256.3,421.67
2024-05-31,11.51,263.8,504.46
2024-06-30,11.02,259.9,460.66
2024-07-31,9.08,248.7,348.21
2024-08-31,8.47,245.5,319.99
2024-09-30,9.4,250.5,364.53
2024-10-31,7.69,241.5,287.58
2024-11-30,9.7,252.1,379.75
2024-12-31,6.31,234.9,241.05
2025-01-31,6.99,238.1,262.66
2025-02-28,8.49,245.6,320.93
2025-03-31,9.99,253.7,395.36
2025-04-30,9.53,251.2,371.26
2025-05-31,9.91,253.3,391.04
