Time,area_km2,elevation_m,changed_storage_mcm
2000-01-31,1.95,115.7,3.65
2000-02-29,1.65,115.3,2.87
2000-03-31,1.93,115.7,3.61
2000-04-30,2.93,116.8,6.25
2000-05-31,2.7,116.6,5.65
2000-06-30,2.47,116.4,5.04
2000-07-31,1.81,115.5,3.3
2000-08-31,1.15,114.4,1.56
2000-09-30,1.72,115.4,3.06
2000-10-31,1.99,115.8,3.77
2000-11-30,1.86,115.6,3.43
2000-12-31,1.55,115.1,2.6
2001-01-31,1.32,114.7,2.0
2001-02-28,1.77,115.5,3.19
2001-03-31,2.53,116.4,5.18
2001-04-30,1.69,115.4,2.98
2001-05-31,2.62,116.5,5.43
2001-06-30,2.22,116.1,4.37
2001-07-31,1.82,115.6,3.31
2001-08-31,1.41,114.9,2.25
2001-09-30,2.96,116.8,6.33
2001-10-31,2.1,115.9,4.07
2001-11-30,0.96,113.9,1.04
2001-12-31,1.44,115.0,2.33
2002-01-31,1.49,115.0,2.46
2002-02-28,1.28,114.6,1.9
2002-03-31,1.4,114.9,2.22
2002-04-30,1.59,115.2,2.72
2002-05-31,1.43,114.9,2.29
2002-06-30,1.89,115.7,3.51
2002-07-31,1.82,115.6,3.32
2002-08-31,1.75,115.5,3.13
2002-09-30,1.68,115.3,2.94
2002-10-31,1.36,114.8,2.12
2002-11-30,1.52,115.1,2.54
2002-12-31,1.68,115.3,2.95
2003-01-31,1.77,115.5,3.18
2003-02-28,2.03,115.8,3.87
2003-03-31,2.05,115.9,3.92
2003-04-30,1.99,115.8,3.76
2003-05-31,3.37,117.3,7.68
2003-06-30,2.72,116.6,5.69
2003-07-31,2.07,115.9,3.97
2003-08-31,1.41,114.9,2.25
2003-09-30,1.72,115.4,3.06
2003-10-31,1.41,114.9,2.24
2003-11-30,2.32,116.2,4.63
2003-12-31,1.43,114.9,2.29
2004-01-31,1.35,114.8,2.09
2004-02-29,1.73,115.4,3.1
2004-03-31,1.64,115.3,2.85
2004-04-30,1.26,114.6,1.85
2004-05-31,3.04,116.9,6.54
2004-06-30,3.19,117.1,6.98
2004-07-31,3.4,117.3,7.8
2004-08-31,1.31,114.7,1.97
2004-09-30,1.44,114.9,2.33
2004-10-31,2.0,115.8,3.79
2004-11-30,1.67,115.3,2.92
2004-12-31,2.36,116.2,4.74
2005-01-31,1.65,115.3,2.86
2005-02-28,1.7,115.4,3.0
2005-03-31,1.68,115.3,2.94
2005-04-30,2.75,116.6,5.76
2005-05-31,2.57,116.5,5.29
2005-06-30,2.39,116.3,4.82
2005-07-31,2.21,116.1,4.35
2005-08-31,2.25,116.1,4.45
2005-09-30,2.46,116.3,5.0
2005-10-31,2.66,116.6,5.54
2005-11-30,2.37,116.2,4.76
2005-12-31,1.13,114.3,1.5
2006-01-31,1.59,115.2,2.72
2006-02-28,1.61,115.2,2.76
2006-03-31,2.23,116.1,4.41
2006-04-30,1.93,115.7,3.6
2006-05-31,1.62,115.2,2.8
2006-06-30,1.18,114.4,1.64
2006-07-31,1.6,115.2,2.74
2006-08-31,2.01,115.8,3.83
2006-09-30,2.73,116.6,5.71
2006-10-31,1.36,114.8,2.12
2006-11-30,1.82,115.6,3.33
2006-12-31,1.9,115.7,3.53
2007-01-31,2.19,116.0,4.3
2007-02-28,1.99,115.8,3.76
2007-03-31,1.65,115.3,2.88
2007-04-30,2.16,116.0,4.2
2007-05-31,2.66,116.6,5.53
2007-06-30,3.16,117.0,6.88
2007-07-31,1.74,115.4,3.11
2007-08-31,1.63,115.3,2.83
2007-09-30,1.84,115.6,3.37
2007-10-31,2.04,115.9,3.91
2007-11-30,1.35,114.8,2.07
2007-12-31,1.17,114.4,1.6
2008-01-31,1.8,115.5,3.28
2008-02-29,2.1,115.9,4.07
2008-03-31,2.32,116.2,4.64
2008-04-30,2.95,116.8,6.3
2008-05-31,3.58,,
2008-06-30,1.53,115.1,2.56
2008-07-31,1.09,114.2,1.41
2008-08-31,1.57,115.2,2.66
2008-09-30,2.04,115.9,3.91
2008-10-31,2.4,116.3,4.85
2008-11-30,2.58,116.5,5.31
2008-12-31,1.72,115.4,3.06
2009-01-31,1.43,114.9,2.29
2009-02-28,2.05,115.9,3.92
2009-03-31,3.33,117.2,7.51
2009-04-30,2.8,116.7,5.91
2009-05-31,2.28,116.1,4.54
2009-06-30,1.76,115.5,3.16
2009-07-31,2.32,116.2,4.63
2009-08-31,2.62,116.5,5.41
2009-09-30,2.41,116.3,4.88
2009-10-31,3.41,117.3,7.82
2009-11-30,1.99,115.8,3.77
2009-12-31,1.35,114.8,2.08
2010-01-31,1.09,114.2,1.39
2010-02-28,1.45,115.0,2.34
2010-03-31,1.34,114.8,2.07
2010-04-30,3.23,117.1,7.13
2010-05-31,3.34,117.2,7.55
2010-06-30,3.44,117.3,7.96
2010-07-31,2.08,115.9,3.99
2010-08-31,1.72,115.4,3.06
2010-09-30,2.01,115.8,3.82
2010-10-31,1.73,115.4,3.09
2010-11-30,0.76,113.3,0.53
2010-12-31,0.99,113.9,1.12
2011-01-31,1.05,114.1,1.3
2011-02-28,1.12,114.3,1.47
2011-03-31,0.96,113.9,1.05
2011-04-30,1.4,114.9,2.22
2011-05-31,1.04,114.1,1.28
2011-06-30,2.68,116.6,5.58
2011-07-31,1.15,114.3,1.56
2011-08-31,1.05,114.1,1.29
2011-09-30,0.95,113.8,1.03
2011-10-31,1.15,114.3,1.55
2011-11-30,1.09,114.2,1.4
2011-12-31,0.97,113.9,1.08
2012-01-31,0.99,114.0,1.13
2012-02-29,0.91,113.7,0.92
2012-03-31,1.27,114.6,1.87
2012-04-30,1.08,114.2,1.36
2012-05-31,1.01,114.0,1.18
2012-06-30,0.89,113.7,0.86
2012-07-31,0.77,113.3,0.54
2012-08-31,0.65,112.5,0.0
2012-09-30,0.75,113.2,0.5
2012-10-31,0.85,113.6,0.77
2012-11-30,0.79,113.4,0.62
2012-12-31,0.73,113.2,0.46
2013-01-31,0.92,113.8,0.94
2013-02-28,1.16,114.4,1.57
2013-03-31,1.36,114.8,2.11
2013-04-30,1.6,115.2,2.75
2013-05-31,0.97,113.9,1.07
2013-06-30,0.79,113.4,0.62
2013-07-31,0.77,113.3,0.54
2013-08-31,0.74,113.2,0.46
2013-09-30,1.67,115.3,2.94
2013-10-31,1.49,115.0,2.46
2013-11-30,1.02,114.0,1.21
2013-12-31,1.21,114.5,1.71
2014-01-31,1.26,114.6,1.85
2014-02-28,1.11,114.2,1.44
2014-03-31,1.15,114.4,1.56
2014-04-30,1.96,115.7,3.69
2014-05-31,1.18,114.4,1.64
2014-06-30,2.81,116.7,5.92
2014-07-31,0.66,112.6,0.09
2014-08-31,0.95,113.8,1.03
2014-09-30,2.36,116.2,4.75
2014-10-31,1.35,114.8,2.07
2014-11-30,1.34,114.7,2.06
2014-12-31,1.23,114.5,1.77
2015-01-31,1.26,114.6,1.83
2015-02-28,1.36,114.8,2.12
2015-03-31,1.74,115.4,3.12
2015-04-30,1.66,115.3,2.91
2015-05-31,1.31,114.7,1.97
2015-06-30,1.34,114.8,2.07
2015-07-31,1.34,114.7,2.06
2015-08-31,1.34,114.7,2.05
2015-09-30,1.15,114.4,1.56
2015-10-31,1.32,114.7,1.99
2015-11-30,1.3,114.7,1.95
2015-12-31,1.42,114.9,2.26
2016-01-31,1.51,115.1,2.51
2016-02-29,1.58,115.2,2.69
2016-03-31,1.34,114.8,2.07
2016-04-30,1.36,114.8,2.1
2016-05-31,1.08,114.2,1.36
2016-06-30,0.95,113.9,1.04
2016-07-31,1.21,114.5,1.72
2016-08-31,2.12,116.0,4.1
2016-09-30,3.02,116.9,6.49
2016-10-31,1.24,114.6,1.8
2016-11-30,1.28,114.6,1.89
2016-12-31,1.2,114.5,1.69
2017-01-31,1.26,114.6,1.83
2017-02-28,1.34,114.7,2.05
2017-03-31,1.35,114.8,2.08
2017-04-30,1.49,115.0,2.46
2017-05-31,1.44,114.9,2.33
2017-06-30,2.06,115.9,3.94
2017-07-31,1.55,115.1,2.61
2017-08-31,1.04,114.1,1.27
2017-09-30,1.29,114.6,1.92
2017-10-31,1.54,115.1,2.58
2017-11-30,1.13,114.3,1.49
2017-12-31,1.23,114.5,1.76
2018-01-31,1.58,115.2,2.69
2018-02-28,0.89,113.7,0.86
2018-03-31,1.43,114.9,2.29
2018-04-30,1.38,114.8,2.15
2018-05-31,2.31,116.2,4.61
2018-06-30,1.9,115.7,3.52
2018-07-31,0.85,113.6,0.76
2018-08-31,1.11,114.3,1.46
2018-09-30,1.38,114.8,2.16
2018-10-31,2.03,115.8,3.86
2018-11-30,1.26,114.6,1.83
2018-12-31,1.28,114.6,1.89
2019-01-31,1.36,114.8,2.12
2019-02-28,1.86,115.6,3.44
2019-03-31,1.82,115.6,3.33
2019-04-30,2.53,116.4,5.18
2019-05-31,1.32,114.7,2.0
2019-06-30,2.21,116.1,4.35
2019-07-31,1.19,114.4,1.66
2019-08-31,1.44,114.9,2.31
2019-09-30,1.57,115.2,2.66
2019-10-31,1.67,115.3,2.93
2019-11-30,1.42,114.9,2.26
2019-12-31,1.44,114.9,2.31
2020-01-31,1.56,115.1,2.63
