Time,area_km2,elevation_m,changed_storage_mcm
2018-01-31,1.16,128.4,8.17
2018-02-28,1.82,133.8,15.93
2018-03-31,1.84,134.0,16.31
2018-04-30,1.96,136.7,21.49
2018-05-31,1.7,132.4,13.56
2018-06-30,1.44,130.5,10.48
2018-07-31,1.5,130.9,11.07
2018-08-31,1.56,131.3,11.78
2018-09-30,1.63,131.8,12.54
2018-10-31,1.52,131.0,11.2
2018-11-30,1.4,130.2,10.12
2018-12-31,1.53,131.1,11.38
2019-01-31,1.64,131.9,12.74
2019-02-28,1.69,132.3,13.38
2019-03-31,1.95,136.5,21.19
2019-04-30,1.93,135.7,19.59
2019-05-31,1.93,135.9,19.96
2019-06-30,1.75,132.9,14.33
2019-07-31,1.44,130.5,10.49
2019-08-31,1.56,131.3,11.67
2019-09-30,1.67,132.2,13.11
2019-10-31,1.64,132.0,12.76
2019-11-30,1.51,130.9,11.16
2019-12-31,1.51,130.9,11.11
2020-01-31,1.55,131.3,11.66
2020-02-29,1.55,131.2,11.56
2020-03-31,1.7,132.4,13.59
2020-04-30,1.99,137.7,23.54
2020-05-31,1.98,137.3,22.77
2020-06-30,1.97,137.0,22.13
2020-07-31,1.91,135.3,18.87
2020-08-31,1.52,131.0,11.28
2020-09-30,1.54,131.1,11.46
2020-10-31,1.31,129.7,9.36
2020-11-30,1.57,131.4,11.84
2020-12-31,1.65,132.0,12.87
2021-01-31,1.71,132.5,13.75
2021-02-28,1.61,131.7,12.28
2021-03-31,1.69,132.4,13.5
2021-04-30,1.88,134.8,17.79
2021-05-31,1.97,137.1,22.22
2021-06-30,2.0,137.9,23.94
2021-07-31,1.86,134.3,16.99
2021-08-31,1.53,131.1,11.41
2021-09-30,1.53,131.1,11.38
2021-10-31,1.46,130.6,10.67
2021-11-30,1.7,132.5,13.63
2021-12-31,1.56,131.3,11.7
2022-01-31,1.54,131.2,11.51
2022-02-28,1.45,130.5,10.6
2022-03-31,1.38,130.1,9.93
2022-04-30,2.04,138.9,25.87
2022-05-31,1.18,128.6,8.3
2022-06-30,1.53,131.1,11.36
2022-07-31,1.5,130.9,11.04
2022-08-31,1.68,132.3,13.33
2022-09-30,1.65,132.0,12.88
2022-10-31,1.65,132.0,12.9
2022-11-30,1.63,131.9,12.6
2022-12-31,2.06,139.8,27.7
2023-01-31,1.49,130.8,10.94
2023-02-28,1.66,132.1,12.94
2023-03-31,2.0,137.9,23.94
2023-04-30,2.17,147.0,43.03
2023-05-31,2.07,140.1,28.4
2023-06-30,1.82,133.8,16.01
2023-07-31,1.4,130.2,10.06
2023-08-31,1.62,131.8,12.46
2023-09-30,1.63,131.9,12.61
2023-10-31,1.49,130.8,10.94
2023-11-30,1.48,130.7,10.85
2023-12-31,1.34,129.8,9.56
2024-01-31,1.39,130.2,10.03
2024-02-29,1.41,130.2,10.16
2024-03-31,2.01,138.1,24.27
2024-04-30,1.99,137.7,23.44
2024-05-31,2.02,138.3,24.69
2024-06-30,1.95,136.5,21.19
2024-07-31,1.81,133.7,15.77
2024-08-31,1.68,132.2,13.21
2024-09-30,1.48,130.7,10.85
2024-10-31,1.56,131.3,11.78
2024-11-30,1.33,129.8,9.51
2024-12-31,1.38,130.1,9.88
2025-01-31,1.44,130.5,10.52
2025-02-28,1.4,130.2,10.1
2025-03-31,2.08,140.4,29.06
2025-04-30,2.06,139.7,27.57
2025-05-31,2.0,138.0,24.08
