Time,area_km2,elevation_m,changed_storage_mcm
2000-01-31,12.26,235.4,28.78
2000-02-29,12.34,235.4,29.34
2000-03-31,12.42,235.5,29.97
2000-04-30,12.37,235.4,29.58
2000-05-31,12.12,235.3,27.76
2000-06-30,11.89,235.1,26.12
2000-07-31,14.2,236.5,44.44
2000-08-31,13.57,236.2,39.04
2000-09-30,13.79,236.3,40.87
2000-10-31,13.94,236.4,42.15
2000-11-30,14.1,236.5,43.51
2000-12-31,14.21,236.5,44.53
2001-01-31,14.33,236.6,45.55
2001-02-28,14.49,236.7,46.99
2001-03-31,14.2,236.5,44.4
2001-04-30,11.95,235.2,26.57
2001-05-31,16.58,238.1,67.73
2001-06-30,15.51,237.4,56.66
2001-07-31,14.45,236.7,46.65
2001-08-31,13.67,236.2,39.86
2001-09-30,12.89,235.7,33.54
2001-10-31,12.88,235.7,33.52
2001-11-30,12.88,235.7,33.51
2001-12-31,12.88,235.7,33.5
2002-01-31,12.88,235.7,33.48
2002-02-28,12.88,235.7,33.47
2002-03-31,12.68,235.6,31.98
2002-04-30,12.85,235.7,33.26
2002-05-31,12.95,235.8,34.03
2002-06-30,13.05,235.8,34.8
2002-07-31,12.6,235.6,31.32
2002-08-31,12.15,235.3,27.95
2002-09-30,11.69,235.0,24.75
2002-10-31,11.24,234.8,21.69
2002-11-30,10.79,234.5,18.76
2002-12-31,10.33,234.2,16.01
2003-01-31,10.37,234.2,16.24
2003-02-28,10.32,234.2,15.95
2003-03-31,10.27,234.2,15.66
2003-04-30,10.22,234.2,15.37
2003-05-31,10.26,234.2,15.6
2003-06-30,10.59,234.4,17.53
2003-07-31,10.92,234.6,19.62
2003-08-31,11.25,234.8,21.74
2003-09-30,11.57,235.0,23.92
2003-10-31,11.9,235.1,26.24
2003-11-30,12.23,235.3,28.56
2003-12-31,12.23,235.3,28.58
2004-01-31,11.89,235.1,26.15
2004-02-29,11.43,234.9,22.93
2004-03-31,11.56,234.9,23.82
2004-04-30,11.9,235.1,26.21
2004-05-31,11.96,235.2,26.66
2004-06-30,11.51,234.9,23.44
2004-07-31,11.05,234.6,20.49
2004-08-31,11.44,234.9,23.02
2004-09-30,11.85,235.1,25.88
2004-10-31,12.26,235.4,28.76
2004-11-30,11.56,234.9,23.8
2004-12-31,11.34,234.8,22.34
2005-01-31,10.98,234.6,20.03
2005-02-28,10.98,234.6,20.03
2005-03-31,10.82,234.5,18.98
2005-04-30,10.64,234.4,17.83
2005-05-31,10.61,234.4,17.62
2005-06-30,10.51,234.3,17.08
2005-07-31,10.44,234.3,16.63
2005-08-31,10.36,234.2,16.19
2005-09-30,10.29,234.2,15.75
2005-10-31,10.53,234.3,17.18
2005-11-30,10.78,234.5,18.69
2005-12-31,10.64,234.4,17.84
2006-01-31,10.51,234.3,17.06
2006-02-28,10.35,234.2,16.09
2006-03-31,10.59,234.4,17.49
2006-04-30,10.6,234.4,17.57
2006-05-31,10.4,234.3,16.4
2006-06-30,11.05,234.6,20.44
2006-07-31,10.15,234.1,14.92
2006-08-31,9.25,233.6,9.93
2006-09-30,8.35,233.1,5.48
2006-10-31,10.27,234.2,15.64
2006-11-30,10.78,234.5,18.72
2006-12-31,10.79,234.5,18.81
2007-01-31,10.27,234.2,15.63
2007-02-28,10.54,234.3,17.24
2007-03-31,10.33,234.2,16.02
2007-04-30,10.31,234.2,15.85
2007-05-31,10.51,234.3,17.07
2007-06-30,10.72,234.5,18.35
2007-07-31,10.38,234.3,16.3
2007-08-31,10.04,234.1,14.3
2007-09-30,9.94,234.0,13.7
2007-10-31,10.31,234.2,15.86
2007-11-30,10.67,234.4,18.04
2007-12-31,11.04,234.6,20.41
2008-01-31,11.18,234.7,21.3
2008-02-29,11.32,234.8,22.19
2008-03-31,10.61,234.4,17.62
2008-04-30,10.58,234.4,17.47
2008-05-31,12.52,235.5,30.68
2008-06-30,11.08,234.7,20.65
2008-07-31,11.08,234.7,20.68
2008-08-31,11.09,234.7,20.71
2008-09-30,11.05,234.6,20.49
2008-10-31,11.02,234.6,20.27
2008-11-30,12.45,235.5,30.18
2008-12-31,13.88,236.3,41.63
2009-01-31,13.99,236.4,42.57
2009-02-28,13.84,236.3,41.29
2009-03-31,13.69,236.2,40.03
2009-04-30,13.54,236.1,38.77
2009-05-31,14.17,236.5,44.17
2009-06-30,13.53,236.1,38.71
2009-07-31,12.6,235.6,31.33
2009-08-31,11.67,235.0,24.58
2009-09-30,12.35,235.4,29.41
2009-10-31,13.03,235.8,34.64
2009-11-30,13.6,236.2,39.26
2009-12-31,13.69,236.2,40.01
2010-01-31,13.65,236.2,39.72
2010-02-28,12.14,235.3,27.9
2010-03-31,12.13,235.3,27.84
2010-04-30,11.6,235.0,24.11
2010-05-31,11.56,234.9,23.82
2010-06-30,12.36,235.4,29.47
2010-07-31,13.15,235.9,35.6
2010-08-31,11.21,234.7,21.47
2010-09-30,10.75,234.5,18.54
2010-10-31,14.75,236.9,49.39
2010-11-30,13.12,235.9,35.32
2010-12-31,12.77,235.7,32.64
2011-01-31,15.4,237.3,55.55
2011-02-28,15.48,237.3,56.29
2011-03-31,14.71,236.9,48.96
2011-04-30,14.33,236.6,45.59
2011-05-31,13.95,236.4,42.25
2011-06-30,13.58,236.2,39.13
2011-07-31,13.42,236.1,37.81
2011-08-31,14.22,236.6,44.58
2011-09-30,15.01,237.0,51.86
2011-10-31,15.81,237.6,59.66
2011-11-30,16.61,238.1,68.01
2011-12-31,12.64,235.6,31.67
2012-01-31,15.24,237.2,54.03
2012-02-29,15.23,237.2,53.93
2012-03-31,14.2,236.5,44.46
2012-04-30,14.17,236.5,44.14
2012-05-31,14.13,236.5,43.83
2012-06-30,14.1,236.5,43.51
2012-07-31,14.06,236.5,43.19
2012-08-31,14.03,236.4,42.88
2012-09-30,13.99,236.4,42.56
2012-10-31,13.96,236.4,42.25
2012-11-30,13.96,236.4,42.33
2012-12-31,13.97,236.4,42.41
2013-01-31,13.98,236.4,42.49
2013-02-28,13.99,236.4,42.57
2013-03-31,13.27,236.0,36.54
2013-04-30,12.39,235.4,29.75
2013-05-31,11.97,235.2,26.71
2013-06-30,11.55,234.9,23.71
2013-07-31,16.24,237.8,64.11
2013-08-31,16.77,238.2,69.84
2013-09-30,14.24,236.6,44.76
2013-10-31,18.98,239.7,96.31
2013-11-30,18.52,239.3,90.45
2013-12-31,19.65,240.3,108.68
2014-01-31,19.67,240.3,109.14
2014-02-28,18.85,239.6,94.63
2014-03-31,16.77,238.2,69.79
2014-04-30,15.93,237.6,60.86
2014-05-31,13.46,236.1,38.12
2014-06-30,16.59,238.1,67.83
2014-07-31,15.02,237.1,51.95
2014-08-31,13.46,236.1,38.11
2014-09-30,12.04,235.2,27.22
2014-10-31,13.47,236.1,38.21
2014-11-30,14.9,237.0,50.74
2014-12-31,15.2,237.2,53.61
2015-01-31,15.04,237.1,52.16
2015-02-28,13.87,236.3,41.57
2015-03-31,14.55,236.8,47.59
2015-04-30,14.27,236.6,45.04
2015-05-31,14.35,236.6,45.73
2015-06-30,13.08,235.9,35.02
2015-07-31,12.67,235.6,31.86
2015-08-31,12.26,235.4,28.74
2015-09-30,10.99,234.6,20.1
2015-10-31,12.59,235.6,31.23
