Time,area_km2,elevation_m,changed_storage_mcm
2018-01-31,0.21,404.2,3.32
2018-02-28,0.26,427.8,8.9
2018-03-31,0.31,483.9,24.82
2018-04-30,0.27,436.1,11.07
2018-05-31,0.22,408.8,4.32
2018-06-30,0.18,397.3,1.96
2018-07-31,0.18,396.5,1.81
2018-08-31,0.17,395.7,1.66
2018-09-30,0.07,384.6,0.33
2018-10-31,0.17,395.4,1.61
2018-11-30,0.17,394.4,1.45
2018-12-31,0.16,393.9,1.36
2019-01-31,0.14,392.0,1.07
2019-02-28,0.19,399.7,2.41
2019-03-31,0.21,403.5,3.18
2019-04-30,0.27,438.3,11.65
2019-05-31,0.21,402.3,2.92
2019-06-30,0.13,391.3,0.97
2019-07-31,0.21,404.2,3.32
2019-08-31,0.17,395.0,1.54
2019-09-30,0.17,394.4,1.45
2019-10-31,0.22,406.7,3.85
2019-11-30,0.19,398.9,2.25
2019-12-31,0.16,394.1,1.4
2020-01-31,0.25,421.2,7.26
2020-02-29,0.16,393.1,1.24
2020-03-31,0.2,401.8,2.83
2020-04-30,0.08,385.8,0.42
2020-05-31,0.2,401.8,2.83
2020-06-30,0.19,400.2,2.51
2020-07-31,0.1,388.9,0.7
2020-08-31,0.1,388.8,0.69
2020-09-30,0.1,388.7,0.68
2020-10-31,0.21,403.5,3.18
2020-11-30,0.16,393.1,1.24
2020-12-31,0.17,394.8,1.51
2021-01-31,0.19,397.6,2.01
2021-02-28,0.13,391.0,0.94
2021-03-31,0.12,390.7,0.91
2021-04-30,0.12,390.4,0.87
2021-05-31,0.2,401.6,2.79
2021-06-30,0.17,395.6,1.66
2021-07-31,0.17,394.4,1.44
2021-08-31,0.16,393.2,1.26
2021-09-30,0.14,391.9,1.06
2021-10-31,0.11,390.0,0.82
2021-11-30,0.27,443.2,12.98
2021-12-31,0.16,393.7,1.34
2022-01-31,0.2,401.4,2.74
2022-02-28,0.21,402.0,2.87
2022-03-31,0.21,404.1,3.3
2022-04-30,0.21,405.8,3.67
2022-05-31,0.2,401.1,2.69
2022-06-30,0.16,393.3,1.28
2022-07-31,0.17,395.1,1.56
2022-08-31,0.18,396.2,1.76
2022-09-30,0.14,391.9,1.06
2022-10-31,0.17,395.1,1.56
2022-11-30,0.1,388.7,0.68
2022-12-31,0.17,394.6,1.48
2023-01-31,0.14,391.8,1.05
2023-02-28,0.13,391.4,1.0
2023-03-31,0.09,387.3,0.54
2023-04-30,0.18,395.9,1.71
2023-05-31,0.15,392.9,1.21
2023-06-30,0.08,385.9,0.43
2023-07-31,0.2,402.0,2.86
2023-08-31,0.16,394.0,1.38
2023-09-30,0.12,390.4,0.87
2023-10-31,0.14,391.7,1.03
2023-11-30,0.15,392.6,1.17
2023-12-31,0.16,393.9,1.36
2024-01-31,0.16,394.0,1.37
2024-02-29,0.09,387.9,0.61
2024-03-31,0.29,456.1,16.62
2024-04-30,0.22,408.0,4.14
2024-05-31,0.18,397.5,1.99
2024-06-30,0.15,392.3,1.12
2024-07-31,0.05,382.7,0.23
2024-08-31,0.14,392.0,1.07
2024-09-30,0.15,392.3,1.12
2024-10-31,0.16,394.1,1.4
2024-11-30,0.16,393.4,1.29
2024-12-31,0.14,391.5,1.01
2025-01-31,0.15,392.3,1.11
2025-02-28,0.1,389.0,0.71
2025-03-31,0.13,391.1,0.95
2025-04-30,0.17,395.5,1.64
2025-05-31,0.18,397.2,1.94
