Time,area_km2,elevation_m,changed_storage_mcm
2000-01-31,4.61,1313.5,34.51
2000-02-29,4.61,1313.5,34.51
2000-03-31,4.74,1314.0,36.66
2000-04-30,5.07,1315.1,42.04
2000-05-31,4.23,1312.1,28.14
2000-06-30,4.02,1311.3,24.66
2000-07-31,3.81,1310.4,21.19
2000-08-31,3.6,1309.4,17.72
2000-09-30,4.11,1311.6,26.11
2000-10-31,4.41,1312.8,31.17
2000-11-30,4.27,1312.3,28.81
2000-12-31,4.17,1311.9,27.16
2001-01-31,4.67,1313.8,35.47
2001-02-28,4.85,1314.4,38.42
2001-03-31,4.82,1314.3,38.01
2001-04-30,4.67,1313.8,35.53
2001-05-31,4.55,1313.3,33.56
2001-06-30,4.33,1312.5,29.77
2001-07-31,4.1,1311.6,25.98
2001-08-31,3.87,1310.6,22.19
2001-09-30,4.03,1311.3,24.83
2001-10-31,5.26,1316.1,47.19
2001-11-30,4.14,1311.8,26.7
2001-12-31,4.27,1312.3,28.77
2002-01-31,4.44,1312.9,31.65
2002-02-28,4.24,1312.2,28.35
2002-03-31,3.88,1310.7,22.38
2002-04-30,5.06,1315.1,42.01
2002-05-31,4.37,1312.7,30.54
2002-06-30,4.38,1312.7,30.6
2002-07-31,4.38,1312.7,30.65
2002-08-31,4.48,1313.1,32.34
2002-09-30,4.58,1313.4,34.03
2002-10-31,3.9,1310.7,22.62
2002-11-30,4.23,1312.1,28.13
2002-12-31,4.41,1312.8,31.15
2003-01-31,3.91,1310.8,22.84
2003-02-28,3.99,1311.2,24.23
2003-03-31,4.37,1312.6,30.48
2003-04-30,4.93,1314.6,39.75
2003-05-31,4.83,1314.3,38.16
2003-06-30,4.25,1312.2,28.56
2003-07-31,4.05,1311.4,25.15
2003-08-31,3.84,1310.5,21.74
2003-09-30,3.25,1307.8,11.95
2003-10-31,3.47,1308.8,15.61
2003-11-30,4.18,1311.9,27.42
2003-12-31,4.0,1311.2,24.43
2004-01-31,4.5,1313.1,32.61
2004-02-29,4.45,1313.0,31.88
2004-03-31,4.13,1311.7,26.52
2004-04-30,4.1,1311.6,26.09
2004-05-31,4.47,1313.0,32.14
2004-06-30,3.63,1309.6,18.18
2004-07-31,3.78,1310.2,20.65
2004-08-31,3.92,1310.9,23.11
2004-09-30,4.07,1311.5,25.58
2004-10-31,4.22,1312.1,28.06
2004-11-30,4.37,1312.6,30.42
2004-12-31,4.38,1312.7,30.58
2005-01-31,4.41,1312.8,31.15
2005-02-28,4.21,1312.0,27.8
2005-03-31,4.18,1311.9,27.38
2005-04-30,3.95,1311.0,23.46
2005-05-31,4.73,1314.0,36.46
2005-06-30,4.48,1313.1,32.37
2005-07-31,4.17,1311.9,27.11
2005-08-31,4.23,1312.1,28.22
2005-09-30,4.3,1312.4,29.32
2005-10-31,4.4,1312.8,31.06
2005-11-30,4.13,1311.7,26.57
2005-12-31,3.58,1309.4,17.47
2006-01-31,4.03,1311.3,24.78
2006-02-28,4.29,1312.4,29.22
2006-03-31,4.1,1311.6,25.99
2006-04-30,4.25,1312.2,28.53
2006-05-31,3.9,1310.8,22.77
2006-06-30,3.89,1310.7,22.53
2006-07-31,3.88,1310.7,22.3
2006-08-31,3.86,1310.6,22.07
2006-09-30,3.9,1310.7,22.63
2006-10-31,3.86,1310.6,22.02
2006-11-30,4.06,1311.4,25.42
2006-12-31,3.95,1311.0,23.59
2007-01-31,4.49,1313.1,32.48
2007-02-28,4.09,1311.5,25.8
2007-03-31,3.69,1309.8,19.17
2007-04-30,4.33,1312.5,29.79
2007-05-31,4.25,1312.2,28.46
2007-06-30,3.22,1307.6,11.45
2007-07-31,3.6,1309.5,17.78
2007-08-31,3.99,1311.1,24.12
2007-09-30,4.37,1312.6,30.45
2007-10-31,4.12,1311.7,26.29
2007-11-30,3.92,1310.9,23.04
2007-12-31,4.04,1311.3,24.99
2008-01-31,4.11,1311.7,26.25
2008-02-29,4.42,1312.8,31.28
2008-03-31,4.67,1313.8,35.49
2008-04-30,5.19,1315.5,44.03
2008-05-31,3.54,1309.2,16.81
2008-06-30,3.36,1308.3,13.77
2008-07-31,3.18,1307.4,10.74
2008-08-31,3.88,1310.7,22.43
2008-09-30,3.34,1308.2,13.34
2008-10-31,4.38,1312.7,30.65
2008-11-30,4.46,1313.0,31.95
2008-12-31,4.31,1312.4,29.44
2009-01-31,4.31,1312.4,29.53
2009-02-28,4.57,1313.4,33.77
2009-03-31,5.22,1315.6,44.54
2009-04-30,4.83,1314.3,38.2
2009-05-31,3.7,1309.9,19.34
2009-06-30,3.43,1308.6,14.84
2009-07-31,3.48,1308.9,15.81
2009-08-31,3.54,1309.2,16.78
2009-09-30,4.46,1313.0,31.97
2009-10-31,4.32,1312.5,29.72
2009-11-30,4.12,1311.7,26.31
2009-12-31,3.97,1311.1,23.84
2010-01-31,4.52,1313.2,32.94
2010-02-28,4.51,1313.2,32.81
2010-03-31,3.11,1307.0,9.52
2010-04-30,3.9,1310.8,22.65
2010-05-31,3.79,1310.3,20.9
2010-06-30,4.03,1311.3,24.9
2010-07-31,4.27,1312.3,28.91
2010-08-31,4.52,1313.2,32.91
2010-09-30,4.1,1311.6,25.96
2010-10-31,3.68,1309.8,19.02
2010-11-30,3.92,1310.8,23.02
2010-12-31,3.94,1310.9,23.4
2011-01-31,4.33,1312.5,29.83
2011-02-28,3.59,1309.4,17.49
2011-03-31,4.42,1312.8,31.34
2011-04-30,4.39,1312.7,30.85
2011-05-31,3.06,1306.7,8.7
2011-06-30,3.24,1307.7,11.83
2011-07-31,3.43,1308.6,14.93
2011-08-31,2.72,1304.8,3.18
2011-09-30,4.08,1311.5,25.69
2011-10-31,4.04,1311.3,24.96
2011-11-30,4.25,1312.2,28.52
2011-12-31,3.9,1310.8,22.67
2012-01-31,3.97,1311.1,23.91
2012-02-29,4.33,1312.5,29.76
2012-03-31,3.94,1310.9,23.4
2012-04-30,4.4,1312.8,31.04
2012-05-31,3.76,1310.2,20.37
2012-06-30,3.06,1306.7,8.71
2012-07-31,3.29,1308.0,12.61
2012-08-31,3.53,1309.1,16.51
2012-09-30,3.67,1309.7,18.81
2012-10-31,3.8,1310.4,21.11
2012-11-30,3.36,1308.3,13.68
2012-12-31,3.5,1309.0,16.05
2013-01-31,4.35,1312.6,30.13
2013-02-28,3.92,1310.8,22.98
2013-03-31,4.05,1311.4,25.16
2013-04-30,3.39,1308.4,14.27
2013-05-31,3.84,1310.5,21.78
2013-06-30,3.77,1310.2,20.62
2013-07-31,3.7,1309.9,19.46
2013-08-31,3.63,1309.6,18.3
2013-09-30,3.56,1309.3,17.13
2013-10-31,3.49,1308.9,15.97
2013-11-30,3.6,1309.5,17.8
2013-12-31,3.8,1310.3,21.02
2014-01-31,4.03,1311.3,24.78
2014-02-28,3.73,1310.0,19.91
2014-03-31,3.37,1308.3,13.93
2014-04-30,3.66,1309.7,18.78
2014-05-31,3.75,1310.1,20.14
2014-06-30,3.44,1308.7,15.11
2014-07-31,3.14,1307.2,10.08
2014-08-31,3.02,1306.5,8.07
2014-09-30,2.9,1305.8,6.06
2014-10-31,2.78,1305.1,4.05
2014-11-30,3.36,1308.3,13.72
2014-12-31,3.53,1309.1,16.63
2015-01-31,3.35,1308.2,13.55
2015-02-28,3.84,1310.5,21.75
2015-03-31,4.17,1311.9,27.24
2015-04-30,3.75,1310.1,20.29
2015-05-31,3.37,1308.4,13.98
2015-06-30,2.77,1305.1,3.93
2015-07-31,3.03,1306.6,8.19
2015-08-31,3.28,1307.9,12.45
2015-09-30,3.54,1309.2,16.7
2015-10-31,3.93,1310.9,23.12
