Time,area_km2,elevation_m,changed_storage_mcm
2012-01-31,3.31,248.1,48.37
2012-02-29,2.95,244.5,37.11
2012-03-31,3.98,258.5,86.87
2012-04-30,4.11,264.0,109.02
2012-05-31,2.82,243.4,33.96
2012-06-30,2.67,242.3,30.9
2012-07-31,2.52,241.2,27.99
2012-08-31,2.38,240.3,25.87
2012-09-30,2.03,238.6,22.05
2012-10-31,2.22,239.5,24.02
2012-11-30,2.34,240.1,25.33
2012-12-31,2.29,239.9,24.79
2013-01-31,2.25,239.7,24.3
2013-02-28,3.06,245.5,40.13
2013-03-31,3.16,246.5,43.18
2013-04-30,4.18,270.0,133.92
2013-05-31,3.39,249.0,51.21
2013-06-30,3.26,247.5,46.44
2013-07-31,3.12,246.1,41.93
2013-08-31,2.99,244.8,37.88
2013-09-30,2.85,243.7,34.62
2013-10-31,3.51,250.5,56.58
2013-11-30,3.76,253.8,68.54
2013-12-31,1.68,235.5,18.41
2014-01-31,3.95,257.5,82.69
2014-02-28,4.15,266.0,117.21
2014-03-31,4.25,,
2014-04-30,3.89,256.2,77.9
2014-05-31,3.46,249.9,54.41
2014-06-30,2.74,242.8,32.33
2014-07-31,2.02,238.6,21.97
2014-08-31,2.61,241.9,29.7
2014-09-30,2.29,239.9,24.81
2014-10-31,2.66,242.3,30.77
2014-11-30,3.3,248.0,47.98
2014-12-31,3.3,247.9,47.77
2015-01-31,3.51,250.5,56.65
2015-02-28,3.65,252.3,63.05
2015-03-31,2.38,240.3,25.89
2015-04-30,3.73,253.3,66.6
2015-05-31,3.82,254.7,71.87
2015-06-30,2.44,240.7,26.77
2015-07-31,2.58,241.6,29.07
2015-08-31,2.4,240.4,26.15
2015-09-30,2.75,242.9,32.52
2015-10-31,3.09,245.8,41.08
2015-11-30,2.42,240.6,26.4
2015-12-31,2.27,239.7,24.51
2016-01-31,2.85,243.7,34.59
2016-02-29,3.53,250.8,57.51
2016-03-31,3.84,255.1,73.58
2016-04-30,4.12,264.1,109.68
2016-05-31,3.71,253.0,65.49
2016-06-30,1.87,237.7,20.59
2016-07-31,2.03,238.6,22.11
2016-08-31,3.19,246.7,43.92
2016-09-30,3.08,245.7,40.62
2016-10-31,2.97,244.7,37.6
2016-11-30,2.91,244.1,35.96
2016-12-31,2.97,244.7,37.58
2017-01-31,4.01,259.4,90.25
2017-02-28,3.28,247.7,47.05
2017-03-31,4.21,273.1,147.2
2017-04-30,3.64,252.2,62.5
2017-05-31,3.08,245.7,40.66
2017-06-30,3.05,245.4,39.72
2017-07-31,3.02,245.1,38.78
2017-08-31,3.41,249.2,52.18
2017-09-30,3.56,251.2,58.85
2017-10-31,2.78,243.1,33.15
2017-11-30,3.27,247.6,46.82
2017-12-31,3.29,247.8,47.49
2018-01-31,2.91,244.1,35.89
2018-02-28,3.75,253.6,67.76
2018-03-31,3.95,257.5,82.89
2018-04-30,4.01,259.3,90.16
2018-05-31,2.71,242.6,31.74
2018-06-30,2.79,243.3,33.47
2018-07-31,2.98,244.7,37.64
2018-08-31,3.49,250.3,55.96
2018-09-30,2.95,244.5,37.01
2018-10-31,3.46,250.0,54.71
2018-11-30,3.42,249.5,52.91
2018-12-31,2.86,243.8,34.95
2019-01-31,2.74,242.9,32.38
2019-02-28,3.02,245.1,38.78
2019-03-31,2.49,241.0,27.47
2019-04-30,2.64,242.1,30.27
