Time,area_km2,elevation_m,changed_storage_mcm
2002-01-31,7.31,70.5,57.31
2002-02-28,7.31,70.5,57.31
2002-03-31,8.08,71.4,64.12
2002-04-30,8.35,71.7,66.79
2002-05-31,4.63,66.3,37.26
2002-06-30,5.03,67.6,40.52
2002-07-31,5.43,68.3,43.41
2002-08-31,5.83,68.8,46.11
2002-09-30,6.23,69.3,48.97
2002-10-31,5.86,68.8,46.26
2002-11-30,5.86,68.8,46.3
2002-12-31,6.06,69.1,47.68
2003-01-31,6.26,69.3,49.15
2003-02-28,7.31,70.5,57.27
2003-03-31,7.39,70.6,57.93
2003-04-30,7.76,71.0,61.0
2003-05-31,5.66,68.6,44.97
2003-06-30,6.03,69.0,47.45
2003-07-31,6.4,69.5,50.18
2003-08-31,6.63,69.7,51.88
2003-09-30,5.99,69.0,47.17
2003-10-31,6.83,70.0,53.42
2003-11-30,7.86,71.1,61.94
2003-12-31,7.11,70.3,55.63
2004-01-31,7.38,70.6,57.89
2004-02-29,9.59,73.2,80.06
2004-03-31,8.06,71.4,63.92
2004-04-30,7.18,70.3,56.21
2004-05-31,5.81,68.8,45.94
2004-06-30,6.13,69.1,48.18
2004-07-31,6.45,69.5,50.55
2004-08-31,6.77,69.9,52.93
2004-09-30,7.09,70.2,55.47
2004-10-31,8.86,72.3,72.13
2004-11-30,8.22,71.6,65.58
2004-12-31,8.04,71.3,63.72
2005-01-31,7.64,70.9,59.99
2005-02-28,8.1,71.4,64.38
2005-03-31,7.13,70.3,55.79
2005-04-30,6.18,69.2,48.56
2005-05-31,6.92,70.1,54.07
2005-06-30,8.39,71.8,67.19
2005-07-31,7.64,70.9,59.96
2005-08-31,6.89,70.0,53.84
2005-09-30,6.14,69.2,48.25
2005-10-31,10.21,74.0,87.67
2005-11-30,8.73,72.2,70.71
2005-12-31,7.05,70.2,55.2
2006-01-31,7.17,70.3,56.16
2006-02-28,9.82,73.5,82.86
2006-03-31,9.61,73.2,80.3
2006-04-30,9.32,72.9,76.97
2006-05-31,8.91,72.4,72.56
2006-06-30,8.49,71.9,68.22
2006-07-31,8.07,71.4,64.09
2006-08-31,7.66,70.9,60.14
2006-09-30,7.24,70.4,56.74
2006-10-31,9.97,73.7,84.8
2006-11-30,8.89,72.4,72.41
2006-12-31,9.63,73.2,80.56
2007-01-31,9.78,73.4,82.46
2007-02-28,10.46,74.3,91.57
2007-03-31,9.51,73.1,79.08
2007-04-30,7.96,71.2,62.94
2007-05-31,11.14,75.4,103.04
2007-06-30,9.51,73.1,79.05
2007-07-31,9.19,72.7,75.6
2007-08-31,8.88,72.3,72.27
2007-09-30,8.56,72.0,68.95
2007-10-31,8.25,71.6,65.82
2007-11-30,7.93,71.2,62.7
2007-12-31,7.94,71.2,62.73
2008-01-31,7.98,71.3,63.12
2008-02-29,9.65,73.3,80.8
2008-03-31,10.08,73.8,86.08
2008-04-30,8.47,71.9,67.98
2008-05-31,9.67,73.3,81.09
2008-06-30,8.69,72.1,70.25
2008-07-31,8.53,71.9,68.63
2008-08-31,8.37,71.7,67.07
2008-09-30,6.5,69.6,50.95
2008-10-31,10.12,73.9,86.62
2008-11-30,9.21,72.7,75.78
2008-12-31,9.47,73.0,78.65
2009-01-31,9.44,73.0,78.28
2009-02-28,9.9,73.6,83.86
2009-03-31,9.65,73.3,80.76
2009-04-30,10.52,74.4,92.55
2009-05-31,8.04,71.3,63.76
2009-06-30,7.62,70.8,59.79
2009-07-31,7.19,70.4,56.32
2009-08-31,7.84,71.1,61.77
2009-09-30,7.65,70.9,60.1
2009-10-31,10.85,74.9,97.85
2009-11-30,8.57,72.0,69.06
2009-12-31,8.31,71.7,66.39
2010-01-31,9.97,73.7,84.77
2010-02-28,8.58,72.0,69.14
2010-03-31,8.24,71.6,65.7
2010-04-30,7.57,70.8,59.45
2010-05-31,6.93,70.1,54.22
2010-06-30,6.02,69.0,47.38
2010-07-31,6.54,69.6,51.21
2010-08-31,7.05,70.2,55.17
