Time,area_km2,elevation_m,changed_storage_mcm
2000-01-31,10.05,120.6,53.07
2000-02-29,10.19,120.9,55.85
2000-03-31,9.71,120.0,46.58
2000-04-30,9.95,120.4,51.01
2000-05-31,10.03,120.6,52.64
2000-06-30,8.9,118.6,33.74
2000-07-31,10.65,121.9,65.85
2000-08-31,10.28,121.1,57.69
2000-09-30,9.91,120.4,50.42
2000-10-31,9.09,118.9,36.54
2000-11-30,8.27,117.6,25.28
2000-12-31,10.51,121.6,62.64
2001-01-31,9.39,119.4,41.22
2001-02-28,10.16,120.9,55.16
2001-03-31,12.57,128.9,148.81
2001-04-30,10.38,121.3,59.83
2001-05-31,10.97,122.6,73.85
2001-06-30,11.79,124.9,99.96
2001-07-31,10.22,121.0,56.37
2001-08-31,10.49,121.5,62.14
2001-09-30,8.68,118.3,30.6
2001-10-31,8.38,117.8,26.73
2001-11-30,8.09,117.4,23.1
2001-12-31,9.09,118.9,36.59
2002-01-31,10.1,120.7,54.03
2002-02-28,9.9,120.4,50.17
2002-03-31,9.86,120.3,49.44
2002-04-30,9.03,118.8,35.59
2002-05-31,8.98,118.7,34.88
2002-06-30,8.73,118.3,31.37
2002-07-31,8.49,118.0,28.05
2002-08-31,8.24,117.6,24.95
2002-09-30,8.0,117.2,22.02
2002-10-31,8.53,118.0,28.63
2002-11-30,9.01,118.8,35.4
2002-12-31,8.72,118.3,31.2
2003-01-31,8.43,117.9,27.28
2003-02-28,9.12,119.0,36.93
2003-03-31,9.8,120.2,48.26
2003-04-30,8.5,118.0,28.18
2003-05-31,8.48,118.0,28.0
2003-06-30,8.47,117.9,27.82
2003-07-31,8.46,117.9,27.65
2003-08-31,8.44,117.9,27.47
2003-09-30,8.43,117.9,27.29
2003-10-31,8.41,117.8,27.11
2003-11-30,8.4,117.8,26.93
2003-12-31,7.85,117.0,20.3
2004-01-31,7.3,116.2,14.53
2004-02-29,7.57,116.6,17.32
2004-03-31,7.83,117.0,20.14
2004-04-30,7.56,116.6,17.19
2004-05-31,8.62,118.2,29.81
2004-06-30,10.49,121.5,62.21
2004-07-31,7.31,116.3,14.61
2004-08-31,7.04,115.9,12.03
2004-09-30,6.77,115.5,9.61
2004-10-31,10.12,120.8,54.49
2004-11-30,8.46,117.9,27.77
2004-12-31,6.48,115.2,7.14
2005-01-31,6.07,114.7,3.91
2005-02-28,5.79,,
2005-03-31,7.26,116.2,14.17
2005-04-30,6.77,115.5,9.59
2005-05-31,6.43,115.1,6.74
2005-06-30,6.09,114.7,4.11
2005-07-31,8.02,117.3,22.35
2005-08-31,7.43,116.4,15.86
2005-09-30,6.84,115.6,10.24
2005-10-31,6.82,115.6,10.04
2005-11-30,6.8,115.6,9.84
2005-12-31,7.92,117.1,21.18
