SEAWEA_ID,INDEX,id,reservoir_name,dam_name,station_name,station_type,country,commission_year,status,dam_height_m,dam_length_m,max_area_km2,min_area_km2,normal_area_km2,max_capacity_mcm,min_capacity_mcm,normal_capacity_mcm,average_depth_m,dam_crest_elevation_m,reservoir_normal_elevation_m,reservoir_minimum_elevation_m,water_head_m,design_flow_m3s,power_mw,main_use,second_use,longitude,latitude,dynamic_id,dup_group,area_poly_id,area_poly_anomalous,critical_reservoir_id
1800,154,42,Keng Tawng,Kengtawng,SEAWEA_UNKNOWN,Storage,Myanmar,2009,Operational,6,65,-99,-99,0.1,61,-99,-99,-99,-999.9,-999.9,-999.9,-999.9,-999.9,54,Hydropower,SEAWEA_UNKNOWN,98.293333,20.598333,,,521,,219
1801,155,43,SEAWEA_UNKNOWN,Baoshan Supahe Chaoyang,Baoshan Supahe Chaoyang,Canal,China,2004,Operational,16,-999.9,-999.9,-999.9,0.0436,-999.9,-999.9,0.0589,-999.9,-999.9,-999.9,-999.9,235,-999.9,40,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,98.7592,24.4244,,,-999,,-999
1802,156,44,SEAWEA_UNKNOWN,Yunnan Lincang Nanpeng River Dayakou,Yunnan Lincang Nanpeng River Dayakou,Storage,China,2011,Operational,92,-999.9,-999.9,-999.9,6.14,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,97,-999.9,102,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,98.940278,23.685278,,,-999,,160
1803,157,45,SEAWEA_UNKNOWN,Yunnan Shidi River 1st Level,Yunnan Shidi River 1st Level,Canal,China,2008,Operational,8.96,-999.9,-999.9,-999.9,0.004514,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,594.1,-999.9,30,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,98.8425,26.9594,,,-999,,-999
1804,158,46,SEAWEA_UNKNOWN,Yongde Damengtong,Yunnan Yongde Damengtong,Run of River,China,2009,Operational,-99,-999.9,-999.9,-999.9,0.758,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,133,-999.9,50,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,99.4297,24.222,,,-999,,162
1807,159,4969,Qiezishan,Qiezishan Reservoir,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,China,1999,Operational,32,237,5.1193971,2.769740204,3,101.209429,28.48706085,86.02801465,39.6,-999.9,-999.9,1797.997402,-99,-999.9,16,Hydropower,SEAWEA_UNKNOWN,98.809509,24.506716,137,,742,,220
1810,160,10039,Ngwedaung,Ngwedaung,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Myanmar,1965,Operational,18,-99,-99,-99,-99,826.852,-99,-99,16.5,-999.9,-999.9,-999.9,-999.9,-999.9,-99,Irrigation,SEAWEA_UNKNOWN,97.16221,19.554443,,,583,,583
1825,161,36981,SEAWEA_UNKNOWN,Chalong Dam,Chalong Dam,SEAWEA_UNKNOWN,China,1997,Operational,34,192,-99,-99,-99,138,-99,138,-99,-999.9,-999.9,-999.9,-99,-999.9,10.8,Hydropower,SEAWEA_UNKNOWN,92.332134,31.453272,,,235,,221
1832,162,39287,Baluchaung-2,Baluchaung 3,Baluchaung BHP (2),Canal,Myanmar,1974,Operational,33,50,0,-99,0,0,-99,-99,-99,-999.9,-999.9,-999.9,423.0624,-999.9,168,Hydropower,SEAWEA_UNKNOWN,97.359196,19.556411,,,-999,,161
1855,163,2543,SEAWEA_UNKNOWN,Zhenkang Fengweihe,Zhenkang Fengweihe,Run of River,China,2010,Operational,48.5,-999.9,-999.9,-999.9,0.187,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,151,-999.9,40,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,98.9833,23.8467,,,-999,,163
