SEAWEA_ID,id,reservoir_name,dam_name,station_name,station_type,country,commission_year,status,dam_height_m,dam_length_m,max_area_km2,min_area_km2,normal_area_km2,max_capacity_mcm,min_capacity_mcm,normal_capacity_mcm,average_depth_m,dam_crest_elevation_m,reservoir_normal_elevation_m,reservoir_minimum_elevation_m,water_head_m,design_flow_m3s,power_mw,main_use,second_use,longitude,latitude,dynamic_id
386,39278,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Thailand,-99,Potential,-99,-99,-99,-99,-99,-99,-99,-99,-99,-999.9,-999.9,-999.9,-999.9,-999.9,-99,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,104.070429,17.665498,
387,39279,Nam Hinboun 1 Dam,Nam Hinboun 1,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Laos,2023,Operational,38,-99,-99,-99,2.57,-99,-99,-99,-99,-999.9,-999.9,-999.9,-999.9,-999.9,15,Hydropower,SEAWEA_UNKNOWN,104.571613,17.727498,
388,39280,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Thailand,-99,Potential,-99,-99,-99,-99,-99,-99,-99,-99,-99,-999.9,-999.9,-999.9,-999.9,-999.9,-99,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,103.411255,17.993518,
389,39286,Jinfeng,Jinfeng,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,China,1998,Operational,45,-99,-99,-99,-99,19.48,-99,19.5,-99,-999.9,-999.9,-999.9,-999.9,-999.9,16,Hydropower,SEAWEA_UNKNOWN,101.225176,21.591927,
390,39293,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Thailand,-99,Potential,-99,-99,-99,-99,-99,-99,-99,-99,-99,-999.9,-999.9,-999.9,-999.9,-999.9,-99,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,103.474432,16.199019,
391,39297,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Thailand,-99,Potential,-99,-99,-99,-99,-99,-99,-99,-99,-99,-999.9,-999.9,-999.9,-999.9,-999.9,-99,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,103.541246,15.292361,
392,39298,Mong Wa,Mong Wa,SEAWEA_UNKNOWN,Run of River,Myanmar,2017,Operational,51,237.4,7.044411528,5.245876028,5.987749799,101.2775447,54.32734153,64.93,-99,-999.9,-999.9,537.9924787,-999.9,-999.9,66,Hydropower,SEAWEA_UNKNOWN,100.325923,21.397254,95
393,39303,Nam Ou 5,Nam Ou 5,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Laos,2016,Operational,74,-99,12.71827942,6.695904974,10.81053751,280.7449134,92.51410877,238.6331764,-99,-999.9,-999.9,428.8089059,-999.9,-999.9,240,Hydropower,SEAWEA_UNKNOWN,102.344401,21.411347,116
394,39306,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Thailand,-99,Potential,-99,-99,-99,-99,-99,-99,-99,-99,-99,-999.9,-999.9,-999.9,-999.9,-999.9,-99,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,104.132342,15.732191,
395,39307,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Thailand,-99,Potential,-99,-99,-99,-99,-99,-99,-99,-99,-99,-999.9,-999.9,-999.9,-999.9,-999.9,-99,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,103.789183,16.171848,
396,39312,Yasothon-Phanomprai,Yasothon-Phanomprai,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Thailand,2008,Operational,-99,-99,-99,-99,-99,-99,-99,-99,-99,-999.9,-999.9,-999.9,-999.9,-999.9,-99,Irrigation,SEAWEA_UNKNOWN,104.456296,15.314385,
397,39313,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Thailand,-99,Potential,-99,-99,-99,-99,-99,-99,-99,-99,-99,-999.9,-999.9,-999.9,-999.9,-999.9,-99,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,99.647424,19.69864,
398,39315,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Thailand,-99,Potential,-99,-99,-99,-99,-99,-99,-99,0,-99,-999.9,-999.9,-999.9,-999.9,-999.9,-99,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,103.989756,17.61743,
399,39316,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Thailand,-99,Potential,-99,-99,-99,-99,-99,-99,-99,-99,-99,-999.9,-999.9,-999.9,-999.9,-999.9,-99,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,103.403659,17.870462,
400,39317,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Thailand,-99,Potential,-99,-99,-99,-99,-99,-99,-99,-99,-99,-999.9,-999.9,-999.9,-999.9,-999.9,-99,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,103.418024,14.959414,
401,39318,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Thailand,-99,Potential,-99,-99,-99,-99,-99,-99,-99,-99,-99,-999.9,-999.9,-999.9,-999.9,-999.9,-99,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,104.145068,15.018516,
402,8,Theun-Hin Boun Expansion,Nam Gnouang,Theun Hinboun,Run of River,Laos,2013,Operational,65,480,2900,4.82067342,49,37.55101367,11.89283411,31.91836162,2.4,455,-999.9,-999.9,230,-999.9,280,Hydropower,SEAWEA_UNKNOWN,104.635417,18.297448,166
403,39323,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Thailand,-99,Potential,-99,-99,-99,-99,-99,-99,-99,-99,-99,-999.9,-999.9,-999.9,-999.9,-999.9,-99,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,103.876414,17.577437,
404,39325,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Thailand,-99,Potential,-99,-99,-99,-99,-99,-99,-99,-99,-99,-999.9,-999.9,-999.9,-999.9,-999.9,-99,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,103.980211,15.197835,
405,39326,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Thailand,-99,Potential,-99,-99,-99,-99,-99,-99,-99,-99,-99,-999.9,-999.9,-999.9,-999.9,-999.9,-99,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,104.454416,15.615714,
406,39332,Nam Sana,Nam Sana,Nam Sana,Run of River,Laos,2014,Operational,7,29.5,-99,-99,-99,-99,-99,-99,-99,642,-999.9,-999.9,160,11.5,14,Hydropower,SEAWEA_UNKNOWN,102.317629,19.209295,
407,40263,Hoa Phu,Hoa Phu,Hoa Phu,Run of River,Vietnam,2014,Operational,12,-99,-99,-99,1.6,-99,-99,5.01,-99,-999.9,-999.9,-999.9,10.3,-999.9,29,Hydropower,SEAWEA_UNKNOWN,107.911744,12.646547,
408,40264,Dray H'Linh 1,Dray Hinh 1,Dray H'Linh 1,SEAWEA_UNKNOWN,Vietnam,1990,Operational,7,-99,-99,-99,-99,-99,-99,2.9,-99,-999.9,-999.9,-999.9,-99,-999.9,12,Hydropower,SEAWEA_UNKNOWN,107.906034,12.672193,
409,40265,Srepok 3,SrePok 3,SrePok 3,Storage,Vietnam,2009,Operational,52.5,-99,17.01682947,14.35118138,14.46430505,211.1572522,158.6147312,179.4836644,-99,-999.9,-999.9,269.9711715,60,-999.9,220,Hydropower,SEAWEA_UNKNOWN,107.876878,12.75182,155
410,40266,Srepok 4,SrePok 4,SrePok 4,Storage,Vietnam,2010,Operational,155,860,150,-99,3.75,-99,-99,25.94,-99,-999.9,-999.9,-999.9,21.4,-999.9,80,Hydropower,SEAWEA_UNKNOWN,107.855586,12.807774,
411,40300,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Cambodia,-99,Potential,-99,-99,-99,-99,-99,-99,-99,-99,-99,-999.9,-999.9,-999.9,-999.9,-999.9,-99,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,103.129339,12.871188,
412,40301,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Cambodia,-99,Potential,-99,-99,-99,-99,-99,-99,-99,-99,-99,-999.9,-999.9,-999.9,-999.9,-999.9,-99,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,102.932514,12.836856,
413,1645,SEAWEA_UNKNOWN,Banna Liusha River V,Banna Liusha River Fifth Level,Run of River,China,2007,Operational,8,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,68.5,-999.9,8,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,100.6931,22.1531,
414,1686,SEAWEA_UNKNOWN,Chunduole,Chunduole,Run of River,China,-99,Potential,-99,-999.9,-999.9,-999.9,0.001856,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,722,-999.9,24,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,98.9019,28.0761,
415,1702,SEAWEA_UNKNOWN,Deqin County Cizhong River,Deqin County Cizhong River,Run of River,China,2012,Operational,-99,-999.9,-999.9,-999.9,0.006867,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,772.05,-999.9,24,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,98.8638,28.0225,
416,1718,SEAWEA_UNKNOWN,Eryuan Huian,Eryuan Huian,Run of River,China,2009,Operational,-99,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,56,-999.9,12,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,99.7686,26.1128,
417,1980,SEAWEA_UNKNOWN,Jinghong Mengsong,Jinghong Mengsong,Run of River,China,2012,Operational,42,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-99,-999.9,10,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,100.8678,22.2003,
418,2026,SEAWEA_UNKNOWN,Lincang County Meiziqing 3rd Level,Lincang County Meiziqing 3rd Level,SEAWEA_UNKNOWN,China,2007,Operational,4,-999.9,-999.9,-999.9,0.00015,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,410,-999.9,13,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,100.1603,23.5297,
419,2027,SEAWEA_UNKNOWN,Lincang Mangnuohe Small,Lincang Mangnuohe Small,Run of River,China,2011,Operational,-99,-999.9,-999.9,-999.9,0.001068,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,444.6,-999.9,10,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,100.0739,23.4186,
420,2034,SEAWEA_UNKNOWN,Linxiang Langyahe,Linxiang Langyahe,Run of River,China,2012,Operational,-99,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,445,-999.9,6.4,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,100.2539,23.7292,
421,2037,SEAWEA_UNKNOWN,Liusha River First Cascade,Liusha River First Cascade,Run of River,China,2008,Operational,15,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,58,-999.9,12.6,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,100.5863889,21.98611111,
422,2098,SEAWEA_UNKNOWN,Ninger Mengxian River Second Cascade Hydro,Ninger Mengxian River Second Cascade Hydro,Run of River,China,2008,Operational,16.5,-999.9,-999.9,-999.9,0.0523,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,80,-999.9,16,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,101.1931,22.8214,
423,2150,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Sancha River Phase 1,Run of River,China,2010,Operational,-999.9,-999.9,-999.9,-999.9,0.01929,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,680,-999.9,20,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,98.8925,28.41055556,
424,2151,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Sancha River Phase 2,Run of River,China,2012,Operational,-999.9,-999.9,-999.9,-999.9,0.00791,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,358,-999.9,16,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,98.85944444,28.38416667,
425,2425,SEAWEA_UNKNOWN,Yanwa,Yanwa,Run of River,China,2009,Operational,-99,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,546.398,-999.9,24,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,99.0258,27.4933,
426,2447,SEAWEA_UNKNOWN,Yugong River,Yugong River,Run of River,China,2008,Operational,-99,-999.9,-999.9,-999.9,0.0447,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,657,-999.9,24,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,98.9111,28.1223,
427,2451,SEAWEA_UNKNOWN,Yunlong,Yunlong,Run of River,China,2008,Operational,18.5,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,475.857,-999.9,8,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,99.0786,26.0753,
428,2459,SEAWEA_UNKNOWN,Dali Wanhuaxi Small Plant,Yunnan Dali Wanhuaxi Small Plant,Run of River,China,2008,Operational,-99,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,375,-999.9,4,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,100.0861,25.8528,
429,2467,SEAWEA_UNKNOWN,Eryuan Misha River Longdi,Yunnan Eryuan Misha River Longdi,Run of River,China,2007,Operational,-99,-999.9,-999.9,-999.9,0.0084,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,95,-999.9,10,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,99.4336,26.1206,
430,2477,SEAWEA_UNKNOWN,Jiduhe Cascade IV,Yunnan Jiduhe Cascade Iv,Run of River,China,2007,Operational,-99,-999.9,-999.9,-999.9,0.0005,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,212.5,-999.9,12,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,99.3572,26.4594,
431,2478,SEAWEA_UNKNOWN,Kegonghe,Yunnan Kegonghe,Run of River,China,2006,Operational,-99,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,142,-999.9,10,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,99.17,27.32,
432,2482,SEAWEA_UNKNOWN,Lincang Xianrenshan,Yunnan Lincang Qianxin Small,Run of River,China,2011,Operational,-99,-999.9,-999.9,-999.9,0.0035,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,360.94,-999.9,12,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,100.0466,23.3491,
433,2486,SEAWEA_UNKNOWN,Luosongchang Classi Small,Yunnan Luosongchang Classi Small,Run of River,China,2007,Operational,-99,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,406,-999.9,6,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,99.0769,26.555,
434,2505,SEAWEA_UNKNOWN,Sigangli Hydro,Yunnan Sigangli Hydro,Run of River,China,2012,Operational,-99,-999.9,-999.9,-999.9,0.01961,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,172.6,-999.9,18,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,99.3508,23.3597,
435,2529,SEAWEA_UNKNOWN,Zhenyuan County Yuhe,Yunnan Zhenyuan County Yuhe,Run of River,China,2009,Operational,-99,-999.9,-999.9,-999.9,0.0833,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,30,-999.9,6,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,100.8211,23.7947,
436,4056,Don Sahong Dam,Don Sahong,Don Sahong,Run of River,Laos,2020,Operational,25,2730,115,-999.9,2.2,25,-999.9,25,-999.9,-999.9,72,-999.9,20,2400,260,Hydropower,SEAWEA_UNKNOWN,105.964247,13.956223,
437,4062,Nam Long 1,Nam Long,Nam Long,Run of River,Laos,2014,Operational,7,50,-999.9,-999.9,220,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,245,2.62,5,Hydropower,SEAWEA_UNKNOWN,100.8979,20.9239,
438,4063,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Nam Nga,Run of River,Laos,-999,SEAWEA_UNKNOWN,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,26.5,-999.9,14.5,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,100.431852,20.398288,
439,4068,Nam Pha Gnai,Nam Pha Gnai,Nam Pha Gnai,Run of River,Laos,2020,Operational,75,160,1.5,-999.9,1.5,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,117.85,-999.9,19.2,Hydropower,SEAWEA_UNKNOWN,102.8733,19.0133,
440,4069,Nam Samoy Dam,Nam Samoy,Nam Samoy,Run of River,Laos,2020,Under Construction,17.5,28,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,360,-999.9,5,Hydropower,SEAWEA_UNKNOWN,102.3441,19.2954,
441,4075,Xe Katam 1-Xe Namnoy 2 HPP,Xe Nam Noy 2 - Xe Katam 1,Xe Namnoy 2 - Xe Katam !,SEAWEA_UNKNOWN,Laos,2016,Operational,-99,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,115,-999.9,-999.9,-999.9,-999.9,-99,-999.9,15,Hydropower,SEAWEA_UNKNOWN,106.6188889,15.11833333,
442,4077,Xe Namnoy 1 Dam,Xenamnoy I,Xenamnoy 1,Canal,Laos,2018,Operational,7,100,-999.9,-999.9,0.06,-999.9,-999.9,0.21,-999.9,252,-999.9,249,75,53,14.8,Hydropower,SEAWEA_UNKNOWN,106.7103,15.15,
443,7605,Dac Me,Dac Me,Dac Me,Run of River,Vietnam,2011,Operational,-99,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-99,-999.9,5,Hydropower,SEAWEA_UNKNOWN,108.313,12.1333,
444,7614,Dak N'teng,Dak N'teng,Dak N'teng,Run of River,Vietnam,2011,Operational,31,315,323,-999.9,0.8,25.49,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,187,-999.9,13,Hydropower,SEAWEA_UNKNOWN,107.9268,12.1958,
445,7615,Dak Ne,Dak Ne,Dak Ne,Run of River,Vietnam,2010,Operational,-99,-999.9,0.03,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,128.8,-999.9,8.1,Hydropower,SEAWEA_UNKNOWN,108.2191,14.5281,
446,7617,Dak Pia,Dak Pia,Dak Pia,Run of River,Vietnam,2012,Operational,-99,-999.9,-999.9,-999.9,0.0073,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,258.8,-999.9,2.2,Hydropower,SEAWEA_UNKNOWN,108.1593,14.6651,
447,7618,Dak Po Ne,Dak Po Ne,Dak Po Ne,Run of River,Vietnam,2009,Operational,-99,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,0.029,-999.9,-999.9,-999.9,-999.9,227.75,-999.9,15.6,Hydropower,SEAWEA_UNKNOWN,108.3049,14.5759,
448,7619,Dak Po ne 2,Dak Po Ne II,Dak Po ne 2,Run of River,Vietnam,2008,Operational,-99,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,19.16,-999.9,3.6,Hydropower,SEAWEA_UNKNOWN,108.2992,14.526,
449,7623,Dak Ro Sa,Dak Tram,Dak Ro Sa,Run of River,Vietnam,2007,Operational,-99,-999.9,-999.9,-999.9,-999.9,0.3,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-99,-999.9,7.5,Hydropower,SEAWEA_UNKNOWN,107.8358,14.7473,
450,7657,Ia Grang 1,Ia Grai II,Ia Grai 2,SEAWEA_UNKNOWN,Vietnam,2014,Operational,-99,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-99,-999.9,7.5,Hydropower,SEAWEA_UNKNOWN,107.7928,13.9756,
451,7662,Krong Kmar,Krong Kmar,Krong Kmar,SEAWEA_UNKNOWN,Vietnam,2008,Operational,-99,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-99,-999.9,12,Hydropower,SEAWEA_UNKNOWN,108.3372,12.452,
452,7670,Na Loi,Na Loi,Na Loi,SEAWEA_UNKNOWN,Vietnam,2003,Operational,-99,-999.9,-999.9,-999.9,4.1,-999.9,-999.9,39.31,9.600000381,-999.9,-999.9,-999.9,-99,-999.9,9.3,Hydropower,SEAWEA_UNKNOWN,103.0584,21.4687,
453,7700,Ry Ninh,Ry Ninh,Ry Ninh,Run of River,Vietnam,2006,Operational,-99,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-99,-999.9,3.6,Hydropower,Irrigation,107.8141,14.209,
454,7722,Srepok 4A,Sre Pok IVA,Sre Pok 4a,Run of River,Vietnam,2014,Operational,-99,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,3.94,-999.9,-999.9,-999.9,-999.9,19.2,-999.9,64,Hydropower,SEAWEA_UNKNOWN,107.8123,12.8935,
455,7738,Thac Trang,Thac Trang,Thac Trang,SEAWEA_UNKNOWN,Vietnam,2006,Operational,-99,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-99,-999.9,6,Hydropower,Irrigation,103.0782,21.458,
456,7740,Upper Kontum,Upper Kontum,Thuong Kon Tum,Storage,Vietnam,2014,Operational,73,80,7.08,-999.9,7.08,-999.9,-999.9,145.52,-999.9,-999.9,-999.9,-999.9,844,-999.9,220,Hydropower,SEAWEA_UNKNOWN,108.2299,14.6941,
457,7748,Yan-Tann-Sien,Yan Tann Sien,Yan-Tann-Sien,Run of River,Vietnam,2010,Operational,-99,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,633.21,-999.9,19.5,Hydropower,SEAWEA_UNKNOWN,108.3787,12.1526,
458,224,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Thailand,-999,SEAWEA_UNKNOWN,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,0.283,4.276,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,99.24189,19.760148,
459,235,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Thailand,-999,SEAWEA_UNKNOWN,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,0.127,3.641,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,99.259303,20.04444,
460,1898,Nam Oun,Nam Oun,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Thailand,1973,Operational,30,3300,93.30089784,52.6391354,85,780,182.1972166,520,13.6,-999.9,-999.9,179.3639521,-999.9,-999.9,-999.9,Water supply,SEAWEA_UNKNOWN,103.739583,17.305071,119
461,9,Lam Sae,Lam Sae,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Thailand,1998,Operational,29.5,-999.9,2.95,-999.9,2.95,325,-999.9,275,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,Water supply,SEAWEA_UNKNOWN,102.2774,14.415833,
462,696,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Thailand,-999,SEAWEA_UNKNOWN,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,0.5,3,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,99.737862,19.383944,
463,390,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Thailand,-999,SEAWEA_UNKNOWN,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,1.45,9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,100.013846,19.786363,
464,368,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Thailand,-999,SEAWEA_UNKNOWN,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,0.3,6.3,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,100.370705,20.101507,
465,670,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Thailand,-999,SEAWEA_UNKNOWN,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,1.337,7.366,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,99.490273,19.191145,
466,8,SEAWEA_UNKNOWN,Nam Pong,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Thailand,-999,SEAWEA_UNKNOWN,41,-999.9,-999.9,-999.9,21.65,199.6357603,-999.9,165.48,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,6,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,103.938048,16.971667,
467,7,Mun Bon,Mun Bon,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Thailand,1980,Operational,32.7,-999.9,1.275,-999.9,1.275,350,-999.9,141,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,Water supply,Water supply,102.147056,14.484167,
468,649,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Thailand,-999,SEAWEA_UNKNOWN,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,0.3,2.5,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,102.381824,13.099773,
